REB	Rebels
free_land_leader_pool	Land Leaders Without Upkeep
free_leader_pool	Leaders Without Upkeep
free_maintenance_on_expl_conq	No Maintenance on Exploring Leaders
free_mil_policy	Military Free Policies
free_navy_leader_pool	Navy Leaders Without Upkeep
free_policy	Free Policies
galley_cost	Galley Cost
galley_hull_size_modifier	Galley Hull Size
galley_number_of_cannons_modifier	Galley Cannons
galley_power	Galley Combat Ability
garrison_damage	Garrison Army Damage
garrison_growth	Garrison Growth
garrison_size	Garrison Size
general_cost	General Cost
ghulams_influence_modifier	Ghilman Influence
ghulams_loyalty_modifier	Ghilman Loyalty Equilibrium
ghulams_privilege_slots	Ghilman Max Privileges
global_allowed_num_of_buildings	Global Possible Number of Buildings
global_allowed_num_of_manufactories	Possible Number of Manufactories
global_attacker_dice_roll_bonus	Global Attacker Dice Roll Bonus
global_autonomy	Monthly Autonomy Change
global_colonial_growth	Global Settler Increase
global_defender_dice_roll_bonus	Global Defender Dice Roll Bonus
global_foreign_trade_power	Trade Power Abroad
global_garrison_growth	National Garrison Growth
global_heathen_missionary_strength	Missionary Strength vs Heathens
global_heretic_missionary_strength	Missionary Strength vs Heretics
global_institution_spread	Institution Spread
global_manpower	National Manpower
global_manpower_modifier	National Manpower Modifier
global_missionary_strength	Missionary Strength
global_monthly_devastation	Global Monthly Devastation
global_naval_barrage_cost	Naval Barrage cost
global_naval_engagement	Global Naval Engagement
global_naval_engagement_modifier	Global Naval Engagement Modifier
global_own_trade_power	Domestic Trade Power
global_prosperity_growth	Global Prosperity Growth
global_prov_trade_power_modifier	Provincial Trade Power Modifier
global_rebel_suppression_efficiency	Rebel Suppression Efficiency
global_regiment_cost	Regiment Costs
global_regiment_recruit_speed	Recruitment Time
global_religious_conversion_resistance	Resistance to Reformation
global_sailors	National Sailors
global_sailors_modifier	National Sailors Modifier
global_ship_cost	Ship Costs
global_ship_recruit_speed	Shipbuilding Time
global_ship_repair	Global Ship Repair
global_ship_trade_power	Global Ship Trade Power
global_spy_defence	Spy Defense
global_supply_limit_modifier	National Supply Limit Modifier
global_tariffs	Tariffs
global_tax_income	National Tax
global_tax_modifier	National Tax Modifier
global_trade_goods_size	Goods Produced
global_trade_goods_size_modifier	Goods Produced Modifier
global_trade_power	Global Trade Power
global_unrest	National Unrest
gold_depletion_chance_modifier	Gold Depletion Chance Modifier
governing_capacity	Governing Capacity
governing_capacity_modifier	Governing Capacity Modifier
governing_cost	Governing Cost
great_project_upgrade_cost	Great Project Upgrade Cost
great_project_upgrade_time	Great Project Upgrade Time
harmonization_speed	Religious Harmonization Speed
harsh_treatment_cost	Harsh Treatment Cost
has_banners	Allows Banners
has_caravel	Country Allows Caravel Ships
has_carolean	Allows Carolean Infantry
has_galleass	Country Allows Galleass Ships
has_galleon	Country Allows Galleon Ships
has_geobukseon	Country Allows Man Of War Ships
has_man_of_war	Country Allows Geobukseon Ships
has_musketeer	Country Allows Musketeer Infantry
has_samurai	Country Allows Samurai Infantry
has_streltsy	Country Allows Streltsy Infantry
has_tercio	Country Allows Tercio Infantry
has_voc_indiamen	Country Allows VOC Indiamen Ships
heavy_ship_cost	Heavy Ship Cost
heavy_ship_hull_size_modifier	Heavy Ship Hull Size
heavy_ship_number_of_cannons_modifier	Heavy Ship Cannons
heavy_ship_power	Heavy Ship Combat Ability
heir_chance	Chance of New Heir
horde_unity	Yearly Horde Unity
hostile_attrition	Attrition for Enemies
hostile_disembark_speed	Hostile Disembark Time
hostile_fleet_attrition	Hostile Fleet Attrition
hull_size	Hull Size of Ships
hull_size_modifier	Hull Size
hussars_cost_modifier	Hussars Cost Modifier
idea_claim_colonies	Can fabricate claims on any overseas province, provided it is overseas for its owner
idea_cost	Idea Cost
ignore_coring_distance	Ignore Coring Distance
immortal	Immortal
imperial_authority	Imperial Authority Growth Modifier
imperial_authority_value	Imperial Authority Modifier
imperial_mandate	Mandate Growth Modifier
imperial_mercenary_cost	HRE Mercenary Recruitment Cost
imperial_reform_catholic_approval	Approval of Imperial Reforms by Catholic Princes
improve_relation_modifier	Improve Relations
infantry_cost	Infantry Cost
infantry_fire	Infantry Fire
infantry_power	Infantry Combat Ability
infantry_shock	Infantry Shock
inflation_action_cost	Reduce Inflation Cost
inflation_reduction	Yearly Inflation Reduction
inflation_reduction_local	Yearly Inflation Reduction
innovativeness_gain	Innovativeness Gain
institution_growth	Institution Growth
institution_spread_from_true_faith	Institution Spread In True Faith Provinces
interest	Interest Per Annum
is_banner_modifier	Is Banner Modifier
is_carolean_modifier	Is Carolean Modifier
is_cawa_modifier	Is Cawa Modifier
is_cossack_modifier	Is Cossack Modifier
is_hussars_modifier	Is Hussars Modifier
is_janissary_modifier	Is Janisary Modifier
is_mamluks_modifier	Is Mamluks Modifier
is_marine_modifier	Is Marine Modifier
is_mercenary_modifier	Is Mercenary Modifier
is_qizilbash_modifier	Is Qizilbash Modifier
is_rajput_modifier	Is Rajput Modifier
is_revolutionary_guard_modifier	Is Revolutionary Guard Modifier
is_samurai_modifier	Is Samurai Modifier
is_streltsy_modifier	Is Streltsy Modifier
is_tercio_modifier	Is Tercio Modifier
jains_loyalty_modifier	Jains Loyalty Equilibrium
janissary_cost_modifier	Janissary Recruitment Cost
janissaries_influence_modifier	Janissary Influence
janissaries_loyalty_modifier	Janissary Loyalty Equilibrium
janissaries_privilege_slots	Janissary Max Privileges
justify_trade_conflict_cost	Cost to Justify Trade Conflict
land_attrition	Land Attrition
land_forcelimit	Land Force Limit
land_forcelimit_modifier	Land Force Limit Modifier
land_maintenance_modifier	Land Maintenance Modifier
land_morale	Morale of Armies
land_morale_constant	Morale of Armies
landing_penalty	Combat Penalty When Landing
leader_cost	Leader Cost
leader_land_fire	Land Leader Fire
leader_land_manuever	Land Leader Maneuver
leader_land_shock	Land Leader Shock
leader_naval_fire	Naval Leader Fire
leader_naval_manuever	Naval Leader Maneuver
leader_naval_shock	Naval Leader Shock
leader_siege	Land Leader Siege
legitimacy	Yearly Legitimacy
legitimate_subject_elector	Legitimate Subject Elector
liberty_desire	Liberty Desire
liberty_desire_from_subject_development	Liberty Desire from Subjects Development
light_ship_cost	Light Ship Cost
light_ship_hull_size_modifier	Light Ship Hull Size
light_ship_number_of_cannons_modifier	Light Ship Cannons
light_ship_power	Light Ship Combat Ability
local_amount_of_banners	Possible Manchu Banners
local_amount_of_carolean	Possible Carolean Infantry
local_amount_of_cawa	Possible Cawa
local_amount_of_hussars	Possible Winged Hussars
local_assault_fort_ability	Local Assault Fort ability
local_assault_fort_cost_modifier	Local Assault Fort cost modifier
local_attacker_dice_roll_bonus	Local Attacker Dice Roll Bonus
local_autonomy	Local Autonomy
local_build_cost	Local Construction Cost
local_build_time	Local Build Cost
local_center_of_trade_upgrade_cost	Local Center Of Trade Upgrade Cost
local_centralize_state_cost	Local Centralize State Cost
local_colonial_growth	Local Settler Increase
local_colonist_placement_chance	Local Settler Chance
local_colony_cost_modifier	Local Colony Cost Modifier
local_core_creation	Local Core-Creation Cost
local_culture_conversion_cost	Local Culture Conversion Cost
local_culture_conversion_time	Local Culture Conversion Time
local_defender_dice_roll_bonus	Local Defender Dice Roll Bonus
local_defensiveness	Local Defensiveness
local_development_cost	Local Development Cost
local_development_cost_modifier	Local Development Cost Modifier
local_fort_maintenance_modifier	Local Fort Maintenance
local_friendly_movement_speed	Local Friendly Movement Speed
local_garrison_damage	Local Garrison Army Damage
local_garrison_size	Local Garrison Size
local_gold_depletion_chance_modifier	Local Gold Depletion Chance Modifier
local_governing_cost	Province Governing Cost Modifier
local_governing_cost_increase	Province Governing Cost
local_great_project_upgrade_cost	Local Great Project Upgrade Cost
local_great_project_upgrade_time	Local Great Project Upgrade Time
local_has_banners	Province Allows Banners
local_has_caravel	Province Allows Caravel Ships
local_has_carolean	Province Allows Carolean Infantry
local_has_galleass	Province Allows Galleass Ships
local_has_galleon	Province Allows Galleon Ships
local_has_geobukseon	Province Allows Geobukseon Ships
local_has_man_of_war	Province Allows Man Of War Ships
local_has_musketeers	Province Allows Musketeer Infantry
local_has_samurai	Province Allows Samurai Infantry
local_has_streltsy	Province Allows Streltsy Infantry
local_has_tercio	Province Allows Tercio Infantry
local_has_voc_indiamen	Province Allows VOC Indiamen Ships
local_heir_adm	Local Heir Administrative Skill
local_heir_dip	Local Heir Diplomatic Skill
local_heir_mil	Local Heir Military Skill
local_hostile_attrition	Local Attrition For Enemies
local_hostile_movement_speed	Local Hostile Movement Speed
local_institution_spread	Local Institution Spread
local_manpower	Local Manpower
local_manpower_modifier	Local Manpower Modifier
local_missionary_maintenance_cost	Local Missionary Maintenance
local_missionary_strength	Local Missionary Strength
local_monthly_devastation	Local Monthly Devastation
local_naval_engagement_modifier	Local Naval Engagement
local_own_coast_naval_combat_bonus	Naval Combat Local Bonus off Owned Coast
local_production_efficiency	Local Production Efficiency
local_prosperity_growth	Local Prosperity Growth
local_regiment_cost	Local Regiment Cost
local_religious_conversion_resistance	Local Religious Conversion Resistance
local_religious_unity_contribution	Local Religious Unity Contribution
local_sailors	Local Sailors
local_sailors_modifier	Local Sailors Modifier
local_ship_cost	Local Ship Cost
local_ship_repair	Local Ship Repair
local_state_maintenance_modifier	Local State Maintenance
local_tax_modifier	Local Tax Modifier
local_tolerance_of_heathens	Local Tolerance of Heathens
local_tolerance_of_heretics	Local Tolerance of Heretics
local_unrest	Local Unrest
local_warscore_cost_modifier	WarScore Cost
local_years_of_nationalism	Local Years of Separatism
loot_amount	Looting Speed
loyalty_change_on_revoked	Estate Loyalty Change on Privilege revoked
manpower_against_imperial_enemies	Manpower Against Imperial Enemies
manpower_in_accepted_culture_provinces	Manpower in Accepted Culture Provinces
manpower_in_culture_group_provinces	Manpower in Same Culture Group Provinces
manpower_in_own_culture_provinces	Manpower in Own Culture Provinces
manpower_in_true_faith_provinces	Manpower in True Faith Provinces
manpower_recovery_speed	Manpower Recovery Speed
maratha_exclusive_influence_modifier	Marathas Influence
maratha_exclusive_loyalty_modifier	Marathas Loyalty Equilibrium
maratha_influence_modifier	Marathas Influence
maratha_loyalty_modifier	Marathas Loyalty Equilibrium
maratha_muslim_influence_modifier	Marathas Influence
max_absolutism	Maximum Absolutism
max_absolutism_effect	Max effect of Absolutism
max_admiral_fire	Max Admiral Fire
max_admiral_maneuver	Max Admiral Maneuver
max_admiral_shock	Max Admiral Shock
max_admiral_siege	Max Admiral Siege
max_attrition	Maximum Attrition
max_electors	Number of Electors
max_flagships	Max number of Flagships
max_free_cities	Number of Free Cities
max_general_fire	Max General Fire
max_general_maneuver	Max General Maneuver
max_general_shock	Max General Shock
max_general_siege	Max General Siege
max_hostile_attrition	Max Hostile Attrition
max_possible_parliament_seats	Max possible Parliament Seats
max_revolutionary_zeal	Maximum Revolutionary Zeal
may_build_supply_depot	May Build Supply Depots
may_establish_frontier	May Establish Siberian Frontiers
may_explore	Allows recruitment of explorers & conquistadors
may_not_convert_territories	Can NOT convert provinces in territories
may_not_reduce_inflation	Can NOT reduce inflation
may_perform_slave_raid	May Raid Coasts
may_perform_slave_raid_on_same_religion	May Raid Coasts, including coasts of countries with same religion
may_recruit_female_generals	May Recruit Female Generals
may_refill_garrison	May Refill Garrison
may_return_manpower_on_disband	Regain Manpower When Disbanding
merc_independent_from_trade_range	Can recruit Mercenaries from anywhere
merc_leader_army_tradition	Mercenary Leader Army Tradition Modifier
merc_maintenance_modifier	Mercenary Maintenance
mercantilism_cost	Cost to Promote Mercantilism
mercenary_cost	Mercenary Cost
mercenary_discipline	Mercenary Discipline
mercenary_manpower	Mercenary Manpower
merchants	Merchants
meritocracy	Yearly Meritocracy
migration_cooldown	Migration Cooldown
migration_cost	Migration Cost
MIL	Military
mil_advisor_cost	Military Advisor Cost
mil_tech_cost_modifier	Military Technology Cost
military_tactics	Military Tactics
min_autonomy	Minimum Autonomy
min_autonomy_in_territories	Minimum Autonomy in Territories
min_local_autonomy	Minimum Local Autonomy
missionaries	Missionaries
missionary_maintenance_cost	Missionary Maintenance Cost
monarch_admin_power	Monarch Administrative Skill
monarch_diplomatic_power	Monarch Diplomatic Skill
monarch_lifespan	Average Monarch Lifespan
monarch_military_power	Monarch Military Skill
monarch_power_tribute	Monarch Power Tribute from Tributary States
monthly_church_power	Monthly Faith Power
monthly_favor_modifier	Monthly Favor Growth Modifier
monthly_federation_favor_growth	Monthly Federation Favor Growth
monthly_fervor_increase	Monthly Fervor
monthly_gold_inflation_modifier	Monthly Gold Inflation Modifier
monthly_heir_claim_increase	Monthly Heir Claim Increase
monthly_heir_claim_increase_modifier	Monthly Heir Claim Increase Modifier
monthly_karma	Monthly Karma
monthly_karma_accelerator	Monthly Karma Accelerator
monthly_militarized_society	Militarization of State
monthly_ottoman_decadence	Monthly Decadence
monthly_persian_influence	Monthly Persian Influence
monthly_piety	Monthly Piety
monthly_piety_accelerator	Monthly Piety Accelerator
monthly_prussian_militarized_society_1	Monthly Early Prussian Militarized
monthly_prussian_militarized_society_2	Monthly Prussian Militarized Society
monthly_prussian_militarized_society_3	Monthly Total Prussian Militarized Society
monthly_reform_progress	Monthly Reform Progress
monthly_reform_progress_building	Monthly Reform Progress
monthly_reform_progress_modifier	Monthly Reform Progress Modifier
monthly_russian_adm_power	Monthly Sudebnik Progress
monthly_russian_dip_power	Monthly Oprichnina Progress
monthly_russian_mil_power	Monthly Streltsy Progress
monthly_russian_modernization	Monthly Modernization
monthly_splendor	Monthly Splendor
monthly_support_heir_gain	Monthly Heir Support Gain
morale_damage	Morale Damage
morale_damage_received	Morale Damage Received
morale_in_fleet_modifier	Fleet morale
move_capital_cost_modifier	Move Capital Cost Modifier
movement_speed	Movement Speed
movement_speed_in_fleet_modifier	Fleet Movement Speed
movement_speed_onto_off_boat_modifier	Movement Speed On and Off Ships
mr_aristocrats_influence	The Aristocrats Influence
mr_guilds_influence	The Guilds Influence
mr_traders_influence	The Traders Influence
national_focus_years	Change National Focus Cooldown Years
native_assimilation	Native Assimilation
native_uprising_chance	Native Uprising Chance
naval_attrition	Naval Attrition
naval_attrition_in_fleet_modifier	Fleet Attrition
naval_forcelimit	Naval Force Limit
naval_forcelimit_modifier	Naval Force Limit Modifier
naval_maintenance_flagship_modifier	Flagship Maintenance
naval_maintenance_modifier	Naval Maintenance Modifier
naval_morale	Morale of Navies
naval_morale_constant	Morale of Navies
naval_morale_damage	Naval Morale Damage
naval_morale_damage_received	Naval Morale Damage Received
naval_tradition_from_battle	Naval Tradition From Battles
naval_tradition_from_trade	Naval Tradition from Protecting Trade
naval_tradition_in_fleet_modifier	Fleet Naval Tradition From Battles
navy_tradition	Yearly Navy Tradition
navy_tradition_decay	Yearly Navy Tradition Decay
no_claim_cost_increasement	No additional claim cost
no_cost_for_reinforcing	No Cost For Reinforcing
no_religion_penalty	Heretic and Heathen provinces do not give any penalties
no_stability_loss_on_monarch_death	No stability loss on ruler's death
nobles_influence_modifier	Nobles Influence
nobles_loyalty_modifier	Nobles Loyalty Equilibrium
nobles_privilege_slots	Nobles Privilege Slots
nomadic_tribes_loyalty_modifier	Tribes Loyalty Equilibrium
num_accepted_cultures	Number of accepted Cultures
num_of_parliament_issues	Number of possible Parliament Issues
num_of_pronoiars	Number of Pronoiars
number_of_cannons	Number of Cannons on Ships
number_of_cannons_flagship	Flagship Cannons
number_of_cannons_flagship_modifier	Flagship Cannons
number_of_cannons_modifier	Ship Cannons
overextension_impact_modifier	Overextension Impact Modifier
overlord_naval_forcelimit	Overlord Naval Force Limit
overlord_naval_forcelimit_modifier	Overlord Naval Force Limit Modifier
own_coast_naval_combat_bonus	Naval Combat Bonus off Owned Coast
own_territory_dice_roll_bonus	Own Territory Dice Roll Bonus
ottoman_decadence_gain_modifier	Decadence Gain Modifier
papal_influence	Yearly Papal Influence
papal_influence_from_cardinals	Papal Influence from Cardinals
parliament_backing_chance	Parliament Debate Backing Chance
parliament_chance_of_decision	Parliament Chance of Decision
parliament_debate_duration	Parliament Debate Duration
parliament_effect_duration	Parliament Effect Duration
placed_merchant_power	Merchant Trade Power
placed_merchant_power_modifier	Placed Merchant Power Modifier
possible_adm_policy	Administrative Possible Policies
possible_condottieri	Possible Condottieri
possible_dip_policy	Diplomatic Possible Policies
possible_mil_policy	Military Possible Policies
possible_policy	Possible Policies
power_projection_from_insults	Power Projection from Insults
pr_buccaneers_influence	The Buccaneers Influence
pr_captains_influence	The Captains Influence
pr_smugglers_influence	The Smugglers Influence
prestige	Yearly Prestige
prestige_decay	Prestige Decay
prestige_from_battles_in_fleet_modifier	Fleet Prestige from Battles
prestige_from_land	Prestige from Land Battles
prestige_from_naval	Prestige from Naval Battles
prestige_per_development_from_conversion	Prestige per Development from Missionary
privateer_efficiency	Privateer Efficiency
privateering_efficiency_in_fleet_modifier	Fleet Privateering Efficiency
production_efficiency	Production Efficiency
promote_culture_cost	Promote Culture Cost
province_trade_power_modifier	Local Trade Power Modifier
province_trade_power_value	Local Trade Power
province_warscore_cost	Province War Score Cost
qizilbash_influence_modifier	Qizilbash Influence
qizilbash_loyalty_modifier	Qizilbash Loyalty Equilibrium
qizilbash_privilege_slots	Qizilbash Max Privileges
rajput_loyalty_modifier	Rajput Loyalty Equilibrium
range	Fleet Exploration Range
raze_power_gain	Razing Power Gain
reasons_to_elect	Reasons to Elect
rebel_support_efficiency	Rebel Support Efficiency
recover_army_morale_speed	Recover Army Morale Speed
recover_navy_morale_speed	Recover Navy Morale Speed
reduced_liberty_desire	Liberty Desire in Subjects
reduced_liberty_desire_on_other_continent	Reduced Liberty Desire on other Continent
reduced_liberty_desire_on_same_continent	Liberty Desire in Same Continent Subjects
reduced_native_attacks	Native attacks are severely reduced
reduced_stab_impacts	Lowered Impact on Stability from Diplomatic Actions
reduced_trade_penalty_on_non_main_tradenode	Reduced trade penalty on non main trade node
reelection_cost	Reelection Cost
reform_progress_growth	Reform Progress Growth
reform_progress_growth_building	Reform Progress Contribution
regiment_disembark_speed	Regiment Disembark Speed
regiment_manpower_usage	Regiment Manpower Usage
regiment_recruit_speed	Local Recruitment Time
reinforce_cost_modifier	Reinforce Cost
reinforce_speed	Reinforce Speed
relation_with_accepted_culture	Opinion of Accepted Culture
relation_with_heathens	Opinion of Heathens
relation_with_heretics	Opinion of Heretics
relation_with_other_culture	Opinion of Non-Accepted Culture
relation_with_same_culture	Opinion of same Culture
relation_with_same_culture_group	Opinion of same Culture Group
relation_with_same_religion	Opinion of same Religion
religious_unity	Religious Unity
remove_temporary_colonist	Remove Temporary Colonist
republican_tradition	Yearly Republican Tradition
reserves_organisation	Reduced Morale Damage Taken By Reserves
reverse_relation_with_same_religion	Others of the same Religion Opinion of Country
rival_border_fort_maintenance	Fort Maintenance on border with rival
rival_change_cost	Change Rival Cost
rr_girondists_influence	Girondist Influence
rr_jacobins_influence	Jacobin Influence
rr_royalists_influence	Imperial Influence
russian_modernization_gain_modifier	Modernization Gain Modifier
sailor_maintenance_modifer	Sailor Maintenance
sailors_recovery_speed	Sailor Recovery Speed
same_culture_advisor_cost	Cost of Advisors with Ruler's Culture
same_religion_advisor_cost	Cost of Advisors with Ruler's Religion
sea_repair	Ships Can Repair When in Coastal Sea Zones
settle_cost	Settle Cost
ship_durability	Ship Durability
ship_power_propagation	Ship Tradepower Propagation
ship_recruit_speed	Shipbuilding Time
ship_trade_power	Ship Trade Power
ship_trade_power_modifier	Ship Trade Power Modifier
shock_damage	Shock Damage
shock_damage_received	Shock Damage Received
siege_ability	Siege Ability
siege_blockade_progress	Blockade Impact on Siege
special_unit_cost_modifier	Special Unit Cost Modifier
special_unit_forcelimit	Special Unit Force Limit
special_unit_manpower_cost_modifier	Special Unit Manpower Cost Modifier
spy_action_cost_modifier	Spy Action Cost Modifier
spy_offence	Spy Network Construction
stability_cost_modifier	Stability Cost Modifier
stability_cost_to_declare_war	Stability Hit To Declare War
state_governing_cost	State Governing Cost
state_governing_cost_increase	State Governing Increase Cost
state_maintenance_modifier	State Maintenance
statewide_governing_cost	Statewide Governing Cost
sunk_ship_morale_hit_recieved	Morale Hit When Losing a Ship
supply_limit	Supply Limit
supply_limit_modifier	Supply Limit Modifier
tax_income	Tax Income
technology_cost	Technology Cost
territories_governing_cost	Territories Governing Cost
tolerance_heathen	Tolerance of Heathens
tolerance_heretic	Tolerance of Heretics
tolerance_of_heathens_capacity	Maximum Tolerance of Heathens
tolerance_of_heretics_capacity	Maximum Tolerance of Heretics
tolerance_own	Tolerance of the True Faith
trade_company_governing_cost	Trade Company Governing Cost
trade_company_investment_cost	Trade Company Investment Cost
trade_efficiency	Trade Efficiency
trade_goods_size	Local Goods Produced
trade_goods_size_modifier	Local Goods Produced Modifier
trade_power_in_fleet_modifier	Trade Power per Ship in Fleet
trade_range_modifier	Trade Range
trade_steering	Trade Steering
trade_value	Trade Value
trade_value_modifier	Trade Value Modifier
transfer_trade_power_reasons	Transfer Trade Acceptance
transport_attrition	Attrition when loaded on Ships
transport_cost	Transport Cost
transport_hull_size_modifier	Transport Hull Size
transport_number_of_cannons_modifier	Transport Cannons
transport_power	Transport Combat Ability
treasure_fleet_income	Treasure Fleet Income
tribal_development_growth	Tribal Development Growth
tributary_conversion_cost_modifier	Tributary to Vassal Cost Modifier
unjustified_demands	Unjustified Demands
unrest_catholic_provinces	Unrest in Catholic Provinces
vaisyas_influence_modifier	Vaishyas Influence
vaisyas_loyalty_modifier	Vaishyas Loyalty Equilibrium
vaisyas_non_muslim_influence_modifier	Vaishyas Influence
vassal_forcelimit_bonus	Vassal Force Limit Contribution
vassal_income	Income from Vassals
vassal_manpower_bonus	Vassal Manpower Contribution
vassal_naval_forcelimit_bonus	Vassal Naval Force Limit Contribution
vassal_sailors_bonus	Vassal Sailors Contribution
vassal_tax_modifier	Vassal Tax Income
war_exhaustion	Monthly War Exhaustion
war_exhaustion_cost	War Exhaustion Cost Reduction
war_taxes_cost_modifier	War Taxes Cost
warscore_cost_vs_other_religion	War Score Cost vs Other Religions
warscore_from_battles_modifier	War Score from Battles Modifier
yearly_absolutism	Yearly Absolutism
yearly_army_professionalism	Yearly Army Professionalism
yearly_authority	Yearly Authority
yearly_corruption	Yearly Corruption
yearly_doom_reduction	Yearly Doom Reduction
yearly_government_power	Yearly Government Power
yearly_harmony	Yearly Harmony Increase
yearly_innovativeness	Yearly Innovativeness
yearly_karma_decay	Yearly Karma Decay
yearly_patriarch_authority	Yearly Patriarch Authority
yearly_revolutionary_zeal	Yearly Revolutionary Zeal
yearly_tribal_allegiance	Yearly Tribal Allegiance
years_of_nationalism	Years of Separatism
years_to_integrate_personal_union	Years for Personal Union Integration
# Mods
acolytes_influence_modifier	Acolytes Loyalty Equilibrium
adventurers_loyalty_modifier	Adventurers Loyalty Equilibrium
artificers_influence_modifier	Artificers Influence
artificers_loyalty_modifier	Artificers Loyalty Equilibrium
ghulams_influence_modifier	Ghulam Influence
ghulams_loyalty_modifier	Ghulam Loyalty Modifier
mages_influence_modifier	Mages Influence
mages_loyalty_modifier	Mages Loyalty Equilibrium
monstrous_tribes	Monstrous Tribes Loyalty Equilibrium
raj_ministries_loyalty_modifier	Ministries Loyalty Equilibrium
uppercastes_loyalty_modifier	Upper Castes Loyalty Equilibrium

#Cultures and Culture Groups
germanic	Germanic
scandinavian	Nordic
british	British
gaelic	Celtic
latin	Latin
iberian	Iberian
french	French
finno_ugric	Ugric
south_slavic	South Slavic
west_slavic	West Slavic
carpathian	Carpathian
east_slavic	East Slavic
slavic	Slavic
baltic	Baltic
byzantine	Byzantine
caucasian	Caucasian
turko_semitic	Levantine
maghrebi	Maghrebi
iranian	Iranian
altaic	Altaic
central_american	Central American
aridoamerican	Aridoamerican
maya	Mayan
otomanguean	Otomanguean
andean_group	Andean
je_tupi	Tupi
je	Je
maranon	Marañón
chibchan	Chibchan
mataco	Matacoan
araucanian	Araucanian
carribean	Caribbean
eskaleut	Eskaleut
central_algonquian	Central Algonquian
plains_algonquian	Plains Algonquian
eastern_algonquian	Eastern Algonquian
iroquoian	Iroquoian
siouan	Siouan
caddoan	Caddoan
muskogean	Muskogean
sonoran	Sonoran
apachean	Apachean
na_dene	Na-Déné
penutian	Penutian
east_asian	Chinese
korean_g	Korean
japanese_g	Japanese
tibetan_group	Tibetan
malay	Malay
thai_group	Tai
southeastasian_group	Mon-Khmer
burman	Burman
pacific	Pacific
aboriginal_australian	Aboriginal
eastern_aryan	Eastern Aryan
hindusthani	Hindustani
western_aryan	Western Aryan
dravidian	Dravidian
central_indic	Central Indian
mande	Mande
sahelian	Sahelian
west_african	West African
southern_african	Southern African
kongo_group	Kongo
great_lakes_group	Great Lakes
african	East Bantu
cushitic	Cushitic
sudanese	Sudanese
evenks	Evenki
kamchatkan_g	Kamchatkan
tartar	Tatar
lost_cultures_group	Lost Cultures
pommeranian	Pomeranian
prussian	Prussian
baltic_german	Balten
lower_saxon	Lower Saxon
hannoverian	Westphalian
hessian	Rhenish
saxon	Saxon
franconian	Franconian
swabian	Swabian
swiss	Swiss
bavarian	Bavarian
austrian	Austrian
dutch	Dutch
flemish	Flemish
frisian	Frisian
swedish	Swedish
danish	Danish
norwegian	Norwegian
finnish	Finnish
sapmi	Sámi
karelian	Karelian
icelandic	Icelandic
norse	Norse
english	English
american	American
welsh	Welsh
cornish	Cornish
scottish	Scottish
irish	Irish
highland_scottish	Highlander
lombard	Lombard
tuscan	Tuscan
sardinian	Sardinian
romagnan	Romagnol
ligurian	Ligurian
venetian	Venetian
dalmatian	Dalmatian
neapolitan	Neapolitan
piedmontese	Piedmontese
umbrian	Umbrian
sicilian	Sicilian
maltese	Maltese
castillian	Castilian
mexican	Mexican
platinean	Platinean
leonese	Leonese
aragonese	Aragonese
catalan	Catalan
galician	Galician
andalucian	Andalusian
portugese	Portuguese
brazilian	Brazilian
basque	Basque
cosmopolitan_french	Francien
gascon	Gascon
normand	Norman
aquitaine	Aquitanian
burgundian	Burgundian
occitain	Occitan
wallonian	Walloon
louisianans	Louisianan
quebecois	Québécois
anglois	Anglois
breton	Breton
uralic	Uralic
samoyed	Samoyed
ostyaki	Ostyak
ingrian	Ingrian
croatian	Croatian
serbian	Serbian
slovene	Slovene
bosnian	Bosnian
bulgarian	Bulgarian
albanian	Albanian
czech	Czech
polish	Polish
schlesian	Silesian
sorbian	Sorbian
slovak	Slovak
transylvanian	Transylvanian
romanian	Romanian
hungarian	Hungarian
russian	Muscovite
novgorodian	Novgorodian
ryazanian	Ryazanian
byelorussian	Byelorussian
ruthenian	Ruthenian
russian_new	Muscovite
novgorodian_new	Novgorodian
ryazanian_new	Ryazanian
byelorussian_new	Byelorussian
ruthenian_new	Ruthenian
slovak_new	Slovak
czech_new	Czech
polish_new	Polish
schlesian_new	Silesian
sorbian_new	Sorbian
croatian_new	Croatian
serbian_new	Serbian
slovene_new	Slovene
bosnian_new	Bosnian
bulgarian_new	Bulgarian
estonian	Estonian
lithuanian	Lithuanian
latvian	Latvian
greek	Greek
pontic_greek	Pontic
goths	Gothic
georgian	Georgian
circassian	Circassian
dagestani	Dagestani
armenian	Armenian
turkish	Turkish
al_misr_arabic	Egyptian
al_suryah_arabic	Syrian
al_iraqiya_arabic	Mashriqi
gulf_arabic	Khaleeji
bedouin_arabic	Bedouin
mahri_culture	Mahri
hejazi_culture	Hejazi
omani_culture	Omani
yemeni_culture	Yemeni
moroccan	Moroccan
tunisian	Tunisian
algerian	Algerian
berber	Berber
persian	Persian
luri	Luri
azerbaijani	Azerbaijani
khorasani	Khorasani
baluchi	Baluchi
afghani	Afghan
kurdish	Kurdish
mazandarani	Mazandarani
mongol	Mongol
chahar	Korchin
khalkha	Khalkha
oirats	Oirat
uzbehk	Uzbek
turkmeni	Turkmeni
uyghur	Uyghur
khazak	Kazakh
kirgiz	Kyrgyz
aztek	Aztec
totonac	Totonac
purepecha	Purepecha
