hie_ach_eastern_goods_western_demand	Eastern Goods, Western Demand
hie_hab_austriae_est_imperare_orbi_universo	Austriae EST Imperare Orbi Universo
hie_ham_old_new_hamburg	Old and New Hamburg
hie_ham_sister_city_lubeck	The sister city of Lübeck
hie_ham_territoriale_politik	Territoriale Politik
hie_ham_imperial_right_prosecute	The imperial right to prosecute
hie_ham_secularisation	Secularisation
hie_ham_citadel_hamburg	The citadel that is Hamburg
hie_ham_ambivalente_position_stadt_hamburg	Ambivalente Position der Stadt Hamburg
hie_han_res_gestae_saxonicae_sive_annalium_libri_tres	Res gestae Saxonicae sive annalium libri tres
hie_han_kurkhannover	Khurhannover Kurhannover
hie_han_legally_indivisible	Legally Indivisible
hie_han_naturally_protestant	Naturally Protestant
hie_han_feoffment	Feoffment
hie_han_privy_council_hannover	Privy Council of Hannover
hie_han_real_union	Real Union
hie_hes_thuringian_connections	Thuringian connections
hie_hes_military_leadership_schmalkaldic_league	Military leadership of the Schmalkaldic league
hie_hes_safe_haven_reformation	Safe haven for the reformation
hie_hes_imperial_auxiliaries	The imperial Auxiliaries
hie_hes_rivalries_protestant_universities	The rivalries of the Protestant universities
hie_hes_grossmutig	Großmütig
hie_hes_standersherren	Standesherren
hie_hlr_reform_the_landsknechte	Reform the Landsknechte
hie_hlr_chancellery_of_the_empire	Chancellery of the Empire
hie_hlr_prussian_influence	Prussian Influence
hie_hlr_wise_electors	Wise Electors
hie_hlr_gutenberg_press	Gutenberg's Press
hie_hlr_reichslandwirtschaftsausstellung	Reichslandwirtschaftsausstellung
hie_hlr_imperial_concessions	Imperial Concessions
hie_hlr_bur_the_distinguished_order_of_the_golden_fleece	The Distinguished Order Of The Golden Fleece
hie_hlr_bur_students_of_warfare	Students Of Warfare
hie_hlr_bur_the_ancient_imperial_capital	The Ancient Imperial capital
hie_hlr_bur_renovatio_imperii_romanorum	Renovatio imperii Romanorum
hie_hlr_bur_renaissance_after_renaissance	Renaissance after Renaissance
hie_hlr_bur_the_burgundian_circle	The Burgundian circle
hie_hlr_bur_a_modern_standing_army	A modern standing army
hie_hlr_boh_vozova_hradba	Vozová Hradba
hie_hlr_boh_compactata	Compactata
hie_hlr_boh_universitatis_carolinae_ferdinandeae	Universitatis Carolinae Ferdinandeae
hie_hlr_boh_teutonic_respect	Teutonic respect
hie_hlr_boh_the_reinstatement_of_a_true_reichsgut	The reinstatement of a true Reichsgut
hie_hlr_boh_standardize_the_prager_groschen	Standardize the Prager groschen
hie_hlr_boh_the_legacy_of_house_luxembourg	The legacy of house Luxembourg
hie_hlr_hab_felix_austria	Felix Austria
hie_hlr_hab_neuaufteilung_der_erblande	Neuaufteilung Der Erblande
hie_hlr_hab_austriae_est_imperare_orbi_universo	Austriae Est Imperare Orbi Universo
hie_hlr_hab_catholic_supremacy	Catholic Supremacy
hie_hlr_hab_the_diet_of_worms	The Diet of Worms
hie_hlr_hab_the_foundations_for_capitalism	The foundations for capitalism
hie_hlr_hab_imperial_baroque	Imperial Baroque
hie_hlr_lat_birthplace_of_renaissance	Birthplace Of Renaissance
hie_hlr_lat_armata_imperiale	Armata Imperiale
hie_hlr_lat_statuta_sabaudiae	Statuta Sabaudiae
hie_hlr_lat_cordone_giallo	Cordone Giallo
hie_hlr_lat_the_iron_crown	The Iron Crown
hie_hlr_lat_e_pluribus_unum	E Pluribus Unum
hie_hlr_lat_southern_marches	Southern Marches
hie_hsa_kontors	Kontors
hie_hsa_lubsiches_recht	Lübisches Recht
hie_hsa_schiffskinder	Schiffskinder
hie_hsa_monopoly_shipbuilding	Monopoly on Shipbuilding
hie_hsa_drittel_quartiere	Drittel Quartiere
hie_hsa_abkommen_hanse	Abkommen der Hanse
hie_hsa_queen_baltic	Queen of the Baltic
hie_kle_city_clovers	The City of Clovers
hie_kle_knight_swan	Knight of the Swan
hie_kle_limbourg_old	Limbourg of Old
hie_kle_wachter_klever_reichswald	Wächter des Klever Reichswald
hie_kle_via_media	Via Media
hie_kle_rhine_toll	Rhine Toll
hie_kle_know_our_name	They Know our Name
hie_kol_imperial_concessions	Imperial Concessions:
hie_kol_erblandesvereinigung	Erblandesvereinigung
hie_kol_free_city_cologne	Free City of Cologne
hie_kol_gaffeln	Gaffeln
hie_kol_papal_nunciature	Papal Nunciature
hie_kol_flexible_diplomacy	Flexible Diplomacy
hie_kol_council_prime_minister_cathedral_chapter	Council, Prime Minister, and Cathedral Chapter
hie_lpp_allodium	Allodium
hie_lpp_city_builders	City builders
hie_lpp_samtherrschaft	Samtherrschaft
hie_lpp_pactum_unionis	Pactum unionis
hie_lpp_fluidity_religion	The fluidity of religion
hie_lpp_astronomiae_instauratae_mechanica	Astronomiae instauratae mechanica
hie_lpp_old_saxon_reformed	Old Saxon reformed
hie_mai_gutenberg_press	Gutenberg's Press
hie_mai_institutionalized_simony	Institutionalized Simony
hie_mai_archicancellarius_germania	Archicancellarius per Germania
hie_mai_found_university_mainz	Found the University of Mainz
hie_mai_weck_worscht_woi	Weck, Worscht, and Woi
hie_mai_restricted_masonry	Restricted Masonry
hie_mai_city_nobility	City of the Nobility
hie_mva_fortification_experts	Fortification experts
hie_mva_saint_rastislav	Saint Rastislav
hie_mva_colloquium_generale	Colloquium generale
hie_mva_lessons_learned	Lessons learned
hie_mva_morravian_industrie	Morravian Industrie
hie_mva_union_with_bohemia	Union with Bohemia
hie_mva_dream_great_moravia	The dream that was Great Moravia
hie_nsa_river_tools	River Tolls
hie_nsa_zunfte	Zunfet
hie_nsa_tenacious_rebuilders	Tenacious Rebuilders
hie_nsa_rhenish_circles	Rhenish Circles
hie_nsa_lowland_dynasties	Lowland Dynasties
hie_nsa_german_viticulture	German Viticulture
hie_nsa_romanticism	Romanticism
hie_num_castle_nuremberg	Castle of Nuremberg
hie_num_reichsschultheiss	Reichsschultheiß
hie_num_unofficial_capital	The unofficial capital
hie_num_grosser_freiheitsbrief	Großer Freiheitsbrief
hie_num_abolishment_guilds	Abolishment of the guilds
hie_num_german_renaissance	The German Renaissance
hie_num_tanzstatus	Tanzstatut
hie_old_descendants_widukind	Descendants of Widukind
hie_old_enemies_on_all_sides	Enemies on all sides
hie_old_rivalry_with_frisians	Rivalry with the Frisians
hie_old_kings_kalmar_union	Kings of the Kalmar Union
hie_old_soldier_dukes	Soldier Dukes
hie_old_unity_above_all	Unity above all
hie_old_imperial_tolls	Imperial tolls
hie_pad_irminsul	Irminsul
hie_pad_libori	Libori
hie_pad_neuhaus_palace	Neuhaus Palace
hie_pad_hochstift_paderborn	Hochstift Paderborn
hie_pad_jesuitenuniversitat	Jesuitenuniversität
hie_pad_kleinmeister	Kleinmeister
hie_pad_franco_prussian_influence	Franco-Prussian Influence
hie_pal_imperial_vicars	Imperial Vicars
hie_pal_chancellery_empire	Chancellery of the Empire
hie_pal_heidelberg_university	Heidelberg University
hie_pal_bibliotheca_palatina	Bibliotheca Palatina
hie_pal_religious_disputations	Religious Disputations
hie_pal_compulsory_education	Compulsory Education
hie_pal_mannheim_school_music	Mannheim School of Music
hie_pru_prussian_virtues	Preußische Tugenden
hie_pru_movement_warfare	Bewegungskrieg
hie_pru_kantonsystem	Kantonsystem
hie_pru_fall_manoeuvres	Herbstübung
hie_pru_goosestep	Der Stechschritt
hie_pru_prussian_drill	Preußische Disziplin
hie_pru_schooling_system	Bildungsreform
hie_rot_imperial_swabia	Imperial Swabia
hie_rot_pre_planne_city	Pre-planned city
hie_rot_territoriale_politik	Territoriale Politik
hie_rot_legal_ambiguity	Legal ambiguity
hie_rot_defense_budget	Defense budget
hie_rot_swabian_reformation	Swabian reformation
hie_rot_cultural_renaissance	Cultural renaissance
hie_rva_westfalischer_hellweg	Westfälischer Hellweg
hie_rva_our_rights_our_city	Our rights our city
hie_rva_legalization_reformation	The legalization of the reformation
hie_rva_hanseatic_capital_rhine	The Hanseatic capital of the Rhine
hie_rva_imperial_notoriety	Imperial Notoriety
hie_rva_ruhr_industry	Ruhr industry
hie_rva_reichsdeputationshauptschluss	Reichsdeputationshauptschluss
hie_sax_sachsenspiege	Sachsenspiegel
hie_sax_dual_electorship	Dual Electorship
hie_sax_wise_electors	Wise Electors
hie_sax_meisner_porcelain	Meissner Porcelain
hie_sax_wittenberg_university	Wittenberg University
hie_sax_corpus_evangelicorum	Corpus Evangelicorum
hie_sax_saxon_circle	The Saxon Circle
hie_shl_where_germans_clash	Where Germans clash
hie_shl_city_builders	City builders
hie_shl_back_forth	Back and forth
hie_shl_treaty_ribe	Treaty of Ribe
hie_shl_reformation_germanification	The Reformation Germanification
hie_shl_codex_holmiensis	Codex Holmiensis
hie_shl_holstein_condominium	The Holstein condominium
hie_slz_festung_hohensalzburg	Festung Hohensalzburg
hie_slz_residenzstadt	Residenzstadt
hie_slz_transalpine_infrastructure	Transalpine Infrastructure
hie_slz_center_counter_reformation	Center of Counter-Reformation
hie_slz_true_neutrality	True Neutrality
hie_slz_german_baroque	German Baroque
hie_slz_magic_boy_trials	Magic Boy Trials
hie_sor_spreewald_und_grenzwall	Spreewald und Grenzwall
hie_sor_lusatian_textiles	Lusatian textiles
hie_sor_protestant_refuge	Protestant Refuge
hie_sor_estate_assembly	Estate assembly
hie_sor_silver_mines	Silver mines
hie_sor_lusatian_hussars	Lusatian Hussars
hie_sor_revival_sorbian_identity	Revival of the Sorbian identity
hie_sty_die_steiermark	Die Steiermark
hie_sty_lower_styria	Lower Styria
hie_sty_land_monasteries	Land of monasteries
hie_sty_georgenberger_handfeste	Georgenberger Handfeste
hie_sty_vertrag_von_neuberg	Vertrag von Neuberg
hie_sty_university_graz	University of Graz
hie_sty_marchia_carantana	Marchia Carantana
hie_swa_cradle_dynasties	Cradle of Dynasties
hie_swa_schwabischer_stadtebund	Schwäbischer Städtebund
hie_swa_landsknechte	Landsknechte
hie_swa_reichsfreiheit	Reichsfreiheit
hie_swa_divided_faith_united_purpose	Divided in Faith, United in Purpose
hie_swa_swabian_circle	Swabian Circle
hie_swa_swabian_industriousness	Swabian Industriousness
hie_swi_drills_drums	Drills and Drums
hie_swi_alpine_defensiveness	Alpine Defensiveness
hie_swi_swiss_farming_techniques	Swiss Farming Techniques
hie_swi_three_languages_one_culture	Three Languages, One Culture
hie_swi_debate_religious_issues	Debate Religious Issues
hie_swi_the_calling	The Calling
hie_swi_universal_conscription	Universal Conscription
hie_teu_grossschaffer	Großschäffer
hie_teu_shiffskinder	Schiffskinder
hie_teu_preussischer_landtag	Preußischer Landtag
hie_teu_eastern_crusade	Eastern Crusade
hie_teu_knights_empire	Knights of the Empire
hie_teu_magister_germaniae	Magister Germaniae
hie_teu_prussian_junkers	Prussian Junkers
hie_thu_altes_thuringen	Altes Thüringen
hie_thu_dux_sorabici_limitis_duces_thuringorum	Dux Sorabici Limitis et Duces Thuringorum
hie_thu_das_land_burgen_schlosser	Das Land der Burgen und Schlösser
hie_thu_alte_stamme	Alte Stämme
hie_thu_sangerkrieg	Sängerkrieg
hie_thu_teutonic_ties	Teutonic Ties
hie_thu_thuringian_succession	Thuringian succession
hie_tir_alps_are_our_friend	The alps are our friends
hie_tir_imperial_passes	Imperial passes
hie_tir_forts_valleys	Forts and valleys
hie_tir_de_jure_flexibility	De Jure flexibility
hie_tir_tiroler_silver	Tiroler silver
hie_tir_imperial_mint	Imperial Mint
hie_tir_kingmakers	Kingmakers
hie_tri_roman_infrastructure	Roman infrastructure
hie_tri_archicancellarius_galliam	Archicancellarius per Galliam
hie_tri_concilie_trento	Concilie of Trento
hie_tri_university_trier	University of Trier
hie_tri_landwirtschaftsausstellung	Landwirtschaftsausstellung
hie_tri_seamless_robe_jesus	Seamless Robe of Jesus
hie_tri_bridge_between_empires	Bridge between empires
hie_ttl_league_gods_house	League of Gods House
hie_ttl_gray_league	Gray League
hie_ttl_league_ten_jurisdictions	League of ten jurisdictions
hie_ttl_three_leagues	The Three Leagues
hie_ttl_expanding_league	Expanding the league
hie_ttl_landfrieden	Landfrieden
hie_ttl_control_over_alpine_passes	Control over the alpine passes
hie_wes_mountains_deep_forests	Mountains and deep forests
hie_wes_people_not_state	A people not a state
hie_wes_imperial_founding	Imperial founding
hie_wes_westphalian_way	Westphalian way
hie_wes_catholic_saxons	Catholic Saxons
hie_wes_westphalian_system	Westphalian system
hie_wes_old_saxony	Old Saxony
hie_ans_oberland_unterland	Oberland und Unterland
hie_ans_franconian_circle	The Franconian circle
hie_ans_ordre_sincerite	Ordre de la Sincérité
hie_ans_flexible_loyalty	Flexible loyalty
hie_ans_prussian_family	Prussian family
hie_ans_gravenreuther_stift	Gravenreuther Stift
hie_ans_ansbacher_fayence_manufaktur	Ansbacher Fayence-Manufaktur
hie_byt_oberland_unterland	Oberland und Unterland
hie_byt_franconian_circle	The Franconian circle
hie_byt_ordre_sincerite	Ordre de la Sincérité
hie_byt_flexible_loyalty	Flexible loyalty
hie_byt_prussian_family	Prussian family
hie_byt_gravenreuther_stift	Gravenreuther Stift
hie_byt_ansbacher_fayence_manufaktur	Ansbacher Fayence-Manufaktur
hie_bav_lex_baiuvariorum	Lex Baiuvariorum
hie_bav_frankish_heritage	Frankish Heritage
hie_bav_teilherzogtumer	Teilherzogtümer
hie_bav_regierungsbezirke	Regierungsbezirke
hie_bav_reinheitsgebot	Reinheitsgebot
hie_bav_bavarian_circle	The Bavarian Circle
hie_bav_imperial_rivalries	Imperial Rivalries
hie_ing_lex_baiuvariorum	Lex Baiuvariorum
hie_ing_frankish_heritage	Frankish Heritage
hie_ing_teilherzogtumer	Teilherzogtümer
hie_ing_regierungsbezirke	Regierungsbezirke
hie_ing_reinheitsgebot	Reinheitsgebot
hie_ing_bavarian_circle	The Bavarian Circle
hie_ing_imperial_rivalries	Imperial Rivalries
hie_lbv_lex_baiuvariorum	Lex Baiuvariorum
hie_lbv_frankish_heritage	Frankish Heritage
hie_lbv_teilherzogtumer	Teilherzogtümer
hie_lbv_regierungsbezirke	Regierungsbezirke
hie_lbv_reinheitsgebot	Reinheitsgebot
hie_lbv_bavarian_circle	The Bavarian Circle
hie_lbv_imperial_rivalries	Imperial Rivalries
hie_ubv_lex_baiuvariorum	Lex Baiuvariorum
hie_ubv_frankish_heritage	Frankish Heritage
hie_ubv_teilherzogtumer	Teilherzogtümer
hie_ubv_regierungsbezirke	Regierungsbezirke
hie_ubv_reinheitsgebot	Reinheitsgebot
hie_ubv_bavarian_circle	The Bavarian Circle
hie_ubv_imperial_rivalries	Imperial Rivalries
hie_bam_supreme_control_clergy	Supreme control of the Clergy
hie_bam_suffragan_duties	Suffragan duties
hie_bam_foundation_church	Foundation of the church
hie_bam_religious_volunteers	Religious volunteers
hie_bam_counter_reformation	Counter-reformation
hie_bam_clerical_diplomacy	Clerical diplomacy
hie_bam_peace_augsburg	Peace of Augsburg
hie_lie_supreme_control_clergy	Supreme control of the Clergy
hie_lie_suffragan_duties	Suffragan duties
hie_lie_foundation_church	Foundation of the church
hie_lie_religious_volunteers	Religious volunteers
hie_lie_counter_reformation	Counter-reformation
hie_lie_clerical_diplomacy	Clerical diplomacy
hie_lie_peace_augsburg	Peace of Augsburg
hie_mag_supreme_control_clergy	Supreme control of the Clergy
hie_mag_suffragan_duties	Suffragan duties
hie_mag_foundation_church	Foundation of the church
hie_mag_religious_volunteers	Religious volunteers
hie_mag_counter_reformation	Counter-reformation
hie_mag_clerical_diplomacy	Clerical diplomacy
hie_mag_peace_augsburg	Peace of Augsburg
hie_mun_supreme_control_clergy	Supreme control of the Clergy
hie_mun_suffragan_duties	Suffragan duties
hie_mun_foundation_church	Foundation of the church
hie_mun_religious_volunteers	Religious volunteers
hie_mun_counter_reformation	Counter-reformation
hie_mun_clerical_diplomacy	Clerical diplomacy
hie_mun_peace_augsburg	Peace of Augsburg
hie_osn_supreme_control_clergy	Supreme control of the Clergy
hie_osn_suffragan_duties	Suffragan duties
hie_osn_foundation_church	Foundation of the church
hie_osn_religious_volunteers	Religious volunteers
hie_osn_counter_reformation	Counter-reformation
hie_osn_clerical_diplomacy	Clerical diplomacy
hie_osn_peace_augsburg	Peace of Augsburg
hie_pss_supreme_control_clergy	Supreme control of the Clergy
hie_pss_suffragan_duties	Suffragan duties
hie_pss_foundation_church	Foundation of the church
hie_pss_religious_volunteers	Religious volunteers
hie_pss_counter_reformation	Counter-reformation
hie_pss_clerical_diplomacy	Clerical diplomacy
hie_pss_peace_augsburg	Peace of Augsburg
hie_tnt_supreme_control_clergy	Supreme control of the Clergy
hie_tnt_suffragan_duties	Suffragan duties
hie_tnt_foundation_church	Foundation of the church
hie_tnt_religious_volunteers	Religious volunteers
hie_tnt_counter_reformation	Counter-reformation
hie_tnt_clerical_diplomacy	Clerical diplomacy
hie_tnt_peace_augsburg	Peace of Augsburg
hie_ver_supreme_control_clergy	Supreme control of the Clergy
hie_ver_suffragan_duties	Suffragan duties
hie_ver_foundation_church	Foundation of the church
hie_ver_religious_volunteers	Religious volunteers
hie_ver_counter_reformation	Counter-reformation
hie_ver_clerical_diplomacy	Clerical diplomacy
hie_ver_peace_augsburg	Peace of Augsburg
hie_wbg_supreme_control_clergy	Supreme control of the Clergy
hie_wbg_suffragan_duties	Suffragan duties
hie_wbg_foundation_church	Foundation of the church
hie_wbg_religious_volunteers	Religious volunteers
hie_wbg_counter_reformation	Counter-reformation
hie_wbg_clerical_diplomacy	Clerical diplomacy
hie_wbg_peace_augsburg	Peace of Augsburg
hie_bad_decapole	Decapole
hie_bad_imperial_cities	Imperial Cities
hie_bad_landsknechte	Landsknechte
hie_bad_regierungsbezirke	Regierungsbezirke
hie_bad_lederhosen	Lederhosen
hie_bad_schlosser_festunge_und_burgen	Schlösser und Burgen
hie_bad_volksfeste	Volkfeste
hie_mbz_decapole	Decapole
hie_mbz_imperial_cities	Imperial Cities
hie_mbz_landsknechte	Landsknechte
hie_mbz_regierungsbezirke	Regierungsbezirke
hie_mbz_lederhosen	Lederhosen
hie_mbz_schlosser_festunge_und_burgen	Schlösser und Burgen
hie_mbz_volksfeste	Volkfeste
hie_dwt_decapole	Decapole
hie_dwt_imperial_cities	Imperial Cities
hie_dwt_landsknechte	Landsknechte
hie_dwt_regierungsbezirke	Regierungsbezirke
hie_dwt_lederhosen	Lederhosen
hie_dwt_schlosser_festunge_und_burgen	Schlösser und Burgen
hie_dwt_volksfeste	Volkfeste
hie_knz_decapole	Decapole
hie_knz_imperial_cities	Imperial Cities
hie_knz_landsknechte	Landsknechte
hie_knz_regierungsbezirke	Regierungsbezirke
hie_knz_lederhosen	Lederhosen
hie_knz_schlosser_festunge_und_burgen	Schlösser und Burgen
hie_knz_volksfeste	Volkfeste
hie_mem_decapole	Decapole
hie_mem_imperial_cities	Imperial Cities
hie_mem_landsknechte	Landsknechte
hie_mem_regierungsbezirke	Regierungsbezirke
hie_mem_lederhosen	Lederhosen
hie_mem_schlosser_festunge_und_burgen	Schlösser und Burgen
hie_mem_volksfeste	Volkfeste
hie_mlh_decapole	Decapole
hie_mlh_imperial_cities	Imperial Cities
hie_mlh_landsknechte	Landsknechte
hie_mlh_regierungsbezirke	Regierungsbezirke
hie_mlh_lederhosen	Lederhosen
hie_mlh_schlosser_festunge_und_burgen	Schlösser und Burgen
hie_mlh_volksfeste	Volkfeste
hie_reg_decapole	Decapole
hie_reg_imperial_cities	Imperial Cities
hie_reg_landsknechte	Landsknechte
hie_reg_regierungsbezirke	Regierungsbezirke
hie_reg_lederhosen	Lederhosen
hie_reg_schlosser_festunge_und_burgen	Schlösser und Burgen
hie_reg_volksfeste	Volkfeste
hie_ulm_decapole	Decapole
hie_ulm_imperial_cities	Imperial Cities
hie_ulm_landsknechte	Landsknechte
hie_ulm_ulmierungsbezirke	Regierungsbezirke
hie_ulm_lederhosen	Lederhosen
hie_ulm_schlosser_festunge_und_burgen	Schlösser und Burgen
hie_ulm_volksfeste	Volkfeste
hie_wur_decapole	Decapole
hie_wur_imperial_cities	Imperial Cities
hie_wur_landsknechte	Landsknechte
hie_wur_wurierungsbezirke	Regierungsbezirke
hie_wur_lederhosen	Lederhosen
hie_wur_schlosser_festunge_und_burgen	Schlösser und Burgen
hie_wur_volksfeste	Volkfeste
hie_gos_ostsiedlung	Ostsiedlung
hie_gos_saxon_heritage	Saxon Heritage
hie_gos_hansa	Hansa
hie_gos_eastern_northern_marks	Eastern and Northern Marks
hie_gos_vernacular_german	Vernacular German
hie_gos_integrated_firearms	Integrated Firearms
hie_gos_lessons_thirty_years_war	Lessons of the Thirty Years' War
hie_lau_ostsiedlung	Ostsiedlung
hie_lau_saxon_heritage	Saxon Heritage
hie_lau_hansa	Hansa
hie_lau_eastern_northern_marks	Eastern and Northern Marks
hie_lau_vernacular_german	Vernacular German
hie_lau_integrated_firearms	Integrated Firearms
hie_lau_lessons_thirty_years_war	Lessons of the Thirty Years' War
hie_mkl_ostsiedlung	Ostsiedlung
hie_mkl_saxon_heritage	Saxon Heritage
hie_mkl_hansa	Hansa
hie_mkl_eastern_northern_marks	Eastern and Northern Marks
hie_mkl_vernacular_german	Vernacular German
hie_mkl_integrated_firearms	Integrated Firearms
hie_mkl_lessons_thirty_years_war	Lessons of the Thirty Years' War
hie_rup_ostsiedlung	Ostsiedlung
hie_rup_saxon_heritage	Saxon Heritage
hie_rup_hansa	Hansa
hie_rup_eastern_northern_marks	Eastern and Northern Marks
hie_rup_vernacular_german	Vernacular German
hie_rup_integrated_firearms	Integrated Firearms
hie_rup_lessons_thirty_years_war	Lessons of the Thirty Years' War
hie_bru_true_heirs_saxony	True heirs of Saxony
hie_bru_skilled_art_marriage	Skilled in the art of marriage
hie_bru_saxon_military_culture	Saxon Military culture:
hie_bru_saxon_circle	The Saxon Circle
hie_bru_saxon_hussars	Saxon Hussars
hie_bru_schwarze_legion	Schwarze Legion
hie_bru_realm_henry_lion	The realm of henry the lion
hie_clb_true_heirs_saxony	True heirs of Saxony
hie_clb_skilled_art_marriage	Skilled in the art of marriage
hie_clb_saxon_military_culture	Saxon Military culture:
hie_clb_saxon_circle	The Saxon Circle
hie_clb_saxon_hussars	Saxon Hussars
hie_clb_schwarze_legion	Schwarze Legion
hie_clb_realm_henry_lion	The realm of henry the lion
hie_lun_true_heirs_saxony	True heirs of Saxony
hie_lun_skilled_art_marriage	Skilled in the art of marriage
hie_lun_saxon_military_culture	Saxon Military culture:
hie_lun_saxon_circle	The Saxon Circle
hie_lun_saxon_hussars	Saxon Hussars
hie_lun_schwarze_legion	Schwarze Legion
hie_lun_realm_henry_lion	The realm of henry the lion
hie_pom_bridge_between_germans_slavs	Bridge between Germans and Slavs
hie_pom_lands_house_griffin	The lands of House Griffin
hie_pom_kammin_diocese	Kammin diocese
hie_pom_duchy_slavinia	The duchy of Slavinia
hie_pom_ostsiedlung	Ostsiedlung
hie_pom_backyard_hanseatic_league	Backyard of the Hanseatic League
hie_pom_pomeranian_church	The Pomeranian church
hie_rug_bridge_between_germans_slavs	Bridge between Germans and Slavs
hie_rug_lands_house_griffin	The lands of House Griffin
hie_rug_kammin_diocese	Kammin diocese
hie_rug_duchy_slavinia	The duchy of Slavinia
hie_rug_ostsiedlung	Ostsiedlung
hie_rug_backyard_hanseatic_league	Backyard of the Hanseatic League
hie_rug_pomeranian_church	The Pomeranian church
hie_ste_bridge_between_germans_slavs	Bridge between Germans and Slavs
hie_ste_lands_house_griffin	The lands of House Griffin
hie_ste_kammin_diocese	Kammin diocese
hie_ste_duchy_slavinia	The duchy of Slavinia
hie_ste_ostsiedlung	Ostsiedlung
hie_ste_backyard_hanseatic_league	Backyard of the Hanseatic League
hie_ste_pomeranian_church	The Pomeranian church
hie_wol_bridge_between_germans_slavs	Bridge between Germans and Slavs
hie_wol_lands_house_griffin	The lands of House Griffin
hie_wol_kammin_diocese	Kammin diocese
hie_wol_duchy_slavinia	The duchy of Slavinia
hie_wol_ostsiedlung	Ostsiedlung
hie_wol_backyard_hanseatic_league	Backyard of the Hanseatic League
hie_wol_pomeranian_church	The Pomeranian church
hie_adu_medical_advancements	Medical Advancements
hie_adu_encourage_al_kimiya	Encourage Al-Kimiya
hie_adu_true_successor_caliphate	True Successor to the Caliphate
hie_adu_taifa_administration	Taifa Administration
hie_adu_propagate_maliki_school	Propagate the Maliki School
hie_adu_import_berber_armies	Import Berber Armies
hie_adu_secure_african_trade	Secure the African Trade
hie_ara_almogavars	Almogavars
hie_ara_crown_aragon	Crown of Aragon
hie_ara_feuros_aragon	Fueros de Aragón
hie_ara_thalassocracy	Thalassocracy
hie_ara_consulate_sea	Consulate of the Sea
hie_ara_trading_halls	Trading Halls
hie_ara_taula_canvi	Taula de Canvi
hie_asu_reconquista	Reconquista
hie_asu_santiago_matamoros	Santiago Matamoros
hie_asu_strategic_depopulation	Strategic Depopulation
hie_asu_refuge_mozarabs	Refuge for Mozarabs
hie_asu_cruz_victoria	Cruz de la Victoria
hie_asu_asturian_art	The Asturian Art
hie_asu_first_crusader_kings	First Crusader Kings
hie_cas_people_war	People of War
hie_cas_toledo_steel	Toledo Steel
hie_cas_royal_universities	Royal Universities
hie_cas_inter_caetera	Inter Caetera
hie_cas_encomienda	Encomienda
hie_cas_imperator_hispaniae	Imperator Hispaniae
hie_cas_castilian_language	Castilian Language
hie_cat_generalitat_catalunya	Generalitat de Catalunya
hie_cat_catalan_constitutions	Catalan Constitutions
hie_cat_sagramental	Sagramental
hie_cat_catalan_galleys	Catalan Galleys
hie_cat_catalan_company	The Catalan Company
hie_cat_consell_cent	Consell de Cent
hie_cat_remenca_pagesos	Remença de Los Pagesos
hie_gal_always_armed	Always Armed
hie_gal_sanctuaria_santiago	Sanctuaria de Santiago
hie_gal_camino_real	El Camino Real
hie_gal_fogar_breogan	Fogar de Breógan
hie_gal_santiago_cierra	Santiago Y Cierra
hie_gal_maritime_highways	Maritime Highways
hie_gal_irmandinos	Irmandiños
hie_gra_al_zillij	Al-Zillij
hie_gra_al_andalus	Al-Andalus
hie_gra_volunteers_faith	Volunteers of the Faith
hie_gra_strait_fibraltar	Strait of Gibraltar
hie_gra_use_old_build_new	Use Old to Build the New
hie_gra_canals_cisterns_towers	Canals, Cisterns, and Towers
hie_gra_garnata_al_yahud	Garnata Al-Yahud
hie_lon_cortes	Cortes
hie_lon_order_santiago	Order of Santiago
hie_lon_hidalgos	Hidalgos
hie_lon_concilions_feuros_leyes	Concilios, Fueros, Y Leyes
hie_lon_continue_reconquista	Continue the Reconquista
hie_lon_school_salamanca	School of Salamanca
hie_lon_expression_faith	Expressions of Faith
hie_mjo_privative_kingdom	Privative Kingdom
hie_mjo_haven_slave_trade	Haven for the Slave Trade
hie_mjo_misquelets	Miquelets
hie_mjo_lliures_morts	Lliures O Morts
hie_mjo_raid_moros	Raid the Moros
hie_mjo_island_harbors	Island Harbors
hie_mjo_insular_council	Insular Council
hie_nav_moros_costa	Moros en la Costa
hie_nav_follow_whale_migrations	Follow the Whale Migrations
hie_nav_navarrese_company	Navarrese Company
hie_nav_protective_trade_deals	Beneficial Trade Deals
hie_nav_royal_basque_society	Royal Basque Society
hie_nav_beret	The Beret
hie_nav_carlism	Carlism
hie_por_new_age_sail	A New Age of Sail
hie_por_black_swords	The Black Swords
hie_por_early_adoption_gunpowder	Early Adoption of Gunpowder
hie_por_tordesillas	Tordesillas
hie_por_feitorias	Feitorias
hie_por_cartazes	Cartazes
hie_por_portolan_charts	Portolan Charts
hie_val_heritage_balansiyya	Heritage of Balansiyya
hie_val_integrate_mudejar	Integrate the Mudejar
hie_val_twice_loyal	Twice Loyal
hie_val_llotja_seda	Llotja de la Seda
hie_val_valencia_oranges	Valencia Oranges
hie_val_germanies	Germanies
hie_val_cradle_iberia	Cradle of Iberia
hie_spa_catholic_monarchs	Catholic Monarchs
hie_spa_casa_contracion	Cása de Contración
hie_spa_inter_caetera	Inter Caetera
hie_spa_global_currency	Global Currency
