hlr_imperial_throne	The Imperial Throne
pandurs	Pandurs
king_of_jerusalem	King of Jerusalem
frankish_crusaders	Frankish Crusaders
commandaria_wine	Commandaria Wine
lusignan_diplomacy	Lusignan Diplomacy
cypriot_fortifications	Cypriot Fortifications
repel_the_corsairs	Repel the Corsairs
raid_turkish_commerce	Raid Turkish Commerce
dorretxeak_towers	Dorretxeak
navarrese_company	Navarrese Company
intrepid_pioneers	Intrepid Pioneers
transatlantic_whaling	Transatlantic Whaling
crosspyrenean_trade	Cross-Pyrenean Trade
royal_basque_society	Royal Basque Society
end_of_fueros	End of the Fueros
flower_wars	Flower Wars
sustaining_the_gods	Sustaining the Gods
telpochcalli	Telpochcalli
eagles_and_jaguars	Eagles and Jaguars
imperial_tribute	Imperial Tribute
floating_gardens	Floating Gardens
pochtecayotl	Pochtecayotl
children_of_the_panther	Children of the Panther
slave_hunts	Slave Hunts
migan_and_mehu	Migan and Mehu
lagredis	Lagredis
the_amazons	The Amazons
the_yovogan	The Yovogan
palaces_of_abomey	Palaces of Abomey
land_of_ngazargamu	Land of Ngazargamu
sayfawad_dynasty	Sayfawa Dynasty
alumas_reforms	Aluma's Reforms
house_of_kanem	House of Kanem
fixed_military_camps	Fixed Military Camps
clan_head_council	The Council of Clan Heads
duties_on_sahara_trade	Duties on Sahara Trade
principate_guard	Principate Guards
komnin_paleolog_gavras	Komnenoi, Palaiologoi and Gavras
aristocracy_in_moskovia	Russian Aristocracy
avlita_port	Port Avlita
mangup_kalamita	Mangup and Kalamita Forts
turms	Turms
cave_monasteries	Cave Monasteries
under_the_infuence	Under the Influence
silesian_duchies	Silesian Duchies
german_settlers	German Settlers
raubritter	Raubritter
via_regia	Via Regia
hanseatic_ties	Hanseatic Ties
black_gold	Black Gold
danzig_law	Danzig Law
vistula_river_trade	Vistula River Trade
centralized_population	Centralized Population
hanseatic_league_member	Hanseatic League Member
danziger_shipyard	Danziger Shipyards
continued_independence	Continued Independence
lutheran_change	Lutheran Change
kra_legendary_legacy	Legendary Legacy
kra_seat_of_gov	Seat of Government
kra_city_rights	City Rights
kra_cas_forts	Casimirian Fortifications
kra_jewish_community	Jewish Communities
kra_polish_athens	Polish Athens
kra_free_city	The Free City
aju_maritime_enterprise	Maritime Enterprise
istunka_tournament	Istunka Tournament
gareen_imams	Gareen Imams
aju_muslim_migrations	Muslim Migrations
aju_hydraulic_empire	Hydraulic Empire
aju_expelling_the_infidel	Expelling the Infidel
aju_received_assistance	Ottoman Assistance
arsenal_of_ryazan	The Arsenal of Ryazan
tatar_mercenaries	Tatar Mercenaries
rya_land_charters	Land Charters
rya_russian_grain	Russian Grain
march_of_russia	March of Russia
russian_ambition	Russian Ambition
western_contacts	Western Contacts
tverian_merchants	Tverian Merchants
defend_against_muscowy	Defend Against Muscovy
patriarch_of_tver	Patriarch of Tver
tverian_architects	Tverian Architects
cloth_business	Cloth Business
tverian_tercio	Tverian Tercio
tve_national_army	National Army
between_hammer_and_avil	Between Hammer and Anvil
third_option	Third Option
reform_boyars	Reform Boyars
siberian_mercenaries	Siberian Mercenaries
cult_of_generals	Cult of Generals
yar_two_towers	The Two Towers
yar_russian_ambition	Russian Ambition
veche_of_pskov	Veche of Pskov
legacy_of_daumantas	Legacy of Daumantas
balt_mercenaries	Balt Mercenaries
pskov_charter	Pskov Charter
psk_knights_guard	The Knights Guard
arts_and_crafts_of_pskov	Arts and Crafts of Pskov
pskov_before_all_others	Pskov Before All Others
smolenskian_resolve	Smolenskian Resolve
armories_of_smolensk	The Armories of Smolensk
smo_western_mercenaries	Western Mercenaries
the_great_foundry	The Great Foundry
smo_hold_the_line	Hold The Line
artillery_before_all	Artillery Before All
tsar_mortars	Tsar Mortars
heretic_teachings	Heretic Teachings
per_aspera_ad_astra	Per Aspera ad Astra
empower_bosnian_nobility	Empower Bosnian Nobility
italian_connections	Italian Connections
land_of_princes	Land of Princes
flexible_diplomacy	Flexible Diplomacy
over_hills_through_woods	Over the Hills and Through the Woods
HRZ_eparchy	Eparchy
HRZ_saint_sava	Saint Sava
HRZ_stjepan_rebellion	Stjepan's Rebellion
HRZ_ottoman_accommodation	Accommodation with the Ottoman Turks
land_of_princes	Land of Princes
HRZ_herceg	Herceg
HRZ_shifting_allegiances	Shifting Allegiances
first_dismounting	First Dismounting
razesi_peasants	Razesi Peasants
upper_boyars	Upper Boyars
moldavia_hospodar	Hospodar of Moldavia
moldavia_metropoly	Metropolis of Moldavia
vlach_shepherds	Vlachs
moldavian_trade	Moldavian Trade
taghlamt	The Taghlamt
cross_of_agades	Cross of Agades
legacy_of_tin_hinan	Legacy of Tin-Hinan
blue_people	The Blue People
inadan_castes	Inadan Castes
nomadic_traditions	Nomadic Traditions
ineslemen_teachings	Ineslemen Teachings
riale_and_yennenga	Rialé and Yennenga
mossi_cavalry_raids	Cavalry Raids
nyonnyonse_vassals	Nyonnyonse Vassals
nakomse	The Nakomse
land_of_the_ancestors	Land of the Ancestors
honoring_the_masks	Honoring the Masks
friday_court	The Friday Court
wandering_scholars	Wandering Scholars
unrighteous_kings	Unrighteous Kings
fulani_jihads	Fulani Jihads
imams_and_emirs	Imams and Emirs
islamic_scholarship	Islamic Scholarship
community_of_the_faithful	Community of the Faithful
caliph_in_africa	The Caliph in Africa
copperworking	Copperworking
no_mercy	No Mercy
merchant_officials	Merchant-Officials
war_bonfires	War Bonfires
fortified_frontier	Fortified Frontier
otomi_settlements	Otomi Settlements
tarascan_assmilation	Tarascan Assimilation
mehmet_bey_firman	Mehmet Bey's Firman
ghazi	Ghazi
karamanid_cavalry	Karamanid Cavalry
kar_seize_the_opportunity	Seize the Opportunity
karamanid_architecture	Karamanid Architecture
home_of_the_whirling_dervishes	Home of the Whirling Dervishes
true_heirs_seljuk_empire	True Heirs of the Seljuk Empire
mon_idea_1	Legacy Of Diocleia
mon_idea_2	Metropolitanate of Montenegro
mon_idea_3	Clan Society
mon_idea_4	Balkan Gusars
mon_idea_5	The Call Of The Sea
mon_idea_6	Tax Reform
mon_idea_7	Cojstvo I Junastvo
flexible_recruiting	Flexible Recruiting
skilled_commanders	Skilled Commanders
scorch_the_land_and_poison_the_wells	Scorch the Lands and Poison the Wells
latin_island	Latin Island
rom_peasant_soldiers	Peasant Soldiers
phanariote_traders	Phanariote Traders
phanariote_taxes	Phanariote Taxes
dominus_athenarum	Dominus Athenarum
athenian_openeness	Athenian Openness
athenian_pragmatism	Athenian Pragmatism
revive_the_latin_greece	Revive the Latin Greece
latin_contracts	Latin Contracts
archbishop_of_athens	Preserve Archbishop of Athens
athenian_army_reform	Athenian Army Reform
rebuild_visby	Rebuild Visby
invite_mercenaries_to_visby	Invite Mercenaries to Visby
expand_visby_dockyard	Expand Visby Dockyard
rebuild_the_trade	Rebuild the Trade
gutnish_merchant_adventurers	Gutnish Merchant Adventurers
gutnish_merchant_navy	Gutnish Merchant Navy
found_visby_bank	Found Visby Bank
expand_viborg	Expand Viborg
hakkapelitta_fin	The Hakkapeliitta
the_fourth_estate	The Fourth Estate
settle_middle_finland	Settle Middle Finland
found_turun_akatemia	Found Turun Akatemia
the_white_death	The White Death
anjala_conspiracy	The Anjala Conspiracy
all_lands_under_skanderbeg	All Lands Under Skanderbeg
land_of_ambushers	Land of Ambushers
kingdom_of_albania	Kingdom of Albania
hit_and_run	Hit and Run
land_of_eagles	Land of the Eagles
albanian_tolerance	Albanian Tolerance
break_the_princes	Break The Power Of Princes
legacy_of_the_werewolf_prince	Legacy of the Werewolf Prince
heritage_of_the_rus	Heritage of The Rus'
cultural_center	Cultural Center
land_of_strongholds	Land of Strongholds
trade_hub	Trade Hub
diplomatic_initiative	Diplomatic Initiative
forest_of_europe	Forest of Europe
capital_of_prikamye	Capital of Prikamye
turkic_mercenaries	Turkic Mercenaries
the_old_traditions	The Old Traditions
the_great_perm	Great Perm
warriors_of_taiga	Warriors of the Taiga
komi_tolerance	Komi Tolerance
permian_army_reform	Permian Army Reform
ash_idea_1	Elder Council
ash_idea_2	The Slave Forts
ash_idea_3	The Akan Coalition
ash_idea_4	The Golden Stool
ash_idea_5	Centralized Coalition
ash_idea_6	Osei Kwadwo's Reforms
ash_idea_7	National Army
mpc_idea_1	Mapuche Pucaras
mpc_idea_2	Clava Clubs
mpc_idea_3	Mapuche Tactics
mpc_idea_4	Mapuche Weaving
mpc_idea_5	Ngillatun
mpc_idea_6	Peace Parliaments
mpc_idea_7	Ruxafe
machu_picchu	Machu Picchu
mitma	Increased Obligations
quipu	Quipu
drafted_hatun_runas	Drafted Hatun Runas
mita_system	Mit'a System
llama_michis	Llama Michis
tambo	Tambo Waystations
chm_idea_1	Inter-Valley Irrigation
chm_idea_2	Ciudadelas
chm_idea_3	Split Inheritance
chm_idea_4	Watchfulness of the Moon
chm_idea_5	Artisan Relocations
chm_idea_6	Specialized Economy
chm_idea_7	The Mit'a
mca_idea_1	Zipa and Zaque
mca_idea_2	El Dorado
mca_idea_3	Gueches Wrestling
mca_idea_4	The Tale of Bochica
mca_idea_5	Emeralds Barter
mca_idea_6	Terrace Farming
mca_idea_7	Consuetudinary Law
cya_idea_1	Warriors of the Clouds
cya_idea_2	Legacy of Kuelap
cya_idea_3	Summit Fortresses
cya_idea_4	Women Diplomacy
cya_idea_5	Chachapoyan Endurance
cya_idea_6	Purunmachus
cya_idea_7	Cloud Forests
teu_idea_1	Reform the Army
teu_idea_2	Recruit Peasants
teu_idea_3	Adjust our Infantry Tactics
teu_idea_4	Assume Religious Authority
teu_idea_5	Expand the Marches
teu_idea_6	Promote Prussian Bishops
teu_idea_7	One State, One Religion
bul_idea_1	Confirm The Bulgarian Boyars
bul_idea_2	Root Out the Heresies
bul_idea_3	Unity Before Feuds
bul_idea_4	Reform The Army
bul_idea_5	Reform The Bulgarian Church
bul_idea_6	Military Flexibility
bul_idea_7	Third Rome
mother_of_all_cities	Mother of All Cities
heritage_of_rus	Heritage of the Rus'
fending_off_the_invaders	Fending Off The Invaders
chernozem_land	Chernozem
center_of_orthodox_church	Center Of Orthodox Church
support_local_traders	Support Local Traders
centralized_rule	One To Rule Them All 
maritime_state	Maritime State
naxos_rules_the_waves	Naxos Rules The Waves
archipelago_of_opportunities	Archipelago Of Opportunities
legacy_of_crusaders	Legacy Of Crusaders
archipelago_feudalism	Archipelago Feudalism
latin_roots	Latin Roots
naxian_Ambition	Naxian Ambition
ge_hunter_gatherers	Hunter Gatherers
ge_home_of_fisherfolk	Home of the Fisherfolk
yam_growers	Yam Growers
ge_mithology	Land of Mythology
ge_jaguar_warriors	The Way of the Jaguar
ge_establish_trade	Open Trade Routes
ge_unite_the_tribes	Unite The Tribes
pom_idea_1	Legacy of Pirates
pom_idea_2	Pomeranian Merchants
pom_idea_3	Northern Ports
pom_idea_4	Religious Freedom
pom_idea_5	Mercenary Contracts
pom_idea_6	Dominate the Baltic
pom_idea_7	German Navy
kaz_idea_1	Steppe Tolerance
kaz_idea_2	Tribal Legacy
kaz_idea_3	Warrior Society
kaz_idea_4	Legacy of the Great Horde
kaz_idea_5	Steppe Warfare
kaz_idea_6	Settle Down
kaz_idea_7	End Western Domination
apostolic_church	Apostolic Church
land_reclamation	Land Reclamation
border_nation	Border Nation
melikdom_organization	Melikdom Organization
sygnakhs	Sygnakhs
nakharar_titles	Nakharar Titles
end_of_armenian_diaspora	End of Armenian Diaspora
cynulliad	Cynulliad
bardic_literature	Bardic Literature
cyfraith_hywel	Cyfraith Hywel
unbennaeth_prydain	Unbennaeth Prydain
economic_revival	Economic Revival
prifysgolion_cymru	Prifysgolion Cymru
welsh_church	Welsh Church
heirs_of_bayajida	Heirs of Bayajida
regnal_chronicles	Regnal Chronicles
sarakunan_babba	Sarakunan Babba
sarakunan_kasuwa	Sarakunan Kasuwa
sarkin_yaki	Sarkin Yaki
sarkin_bayi	Sarkin Bayi
borno_refugees	Borno Refugees
gua_idea_1	Appeasement of the Pomberos
gua_idea_2	Guarani Pottery
gua_idea_3	Echoes of Iguazu
gua_idea_4	Jesuit Conversions
gua_idea_5	Missions Settlements
gua_idea_6	Repel the Bandeirantes!
gua_idea_7	Royal Armaments
cua_idea_1	Hunter-Gatherer Ways
cua_idea_2	Legacy of the Pampas
cua_idea_3	Bolas Warfare
cua_idea_4	Horse Adoption
cua_idea_5	Resist Conquistadors
cua_idea_6	Garra Charrua
cua_idea_7	The Last Charruas
horsemen_of_the_steppe	Horsemen of the Steppe
merchants_of_genoa	Merchants Of Genoa
circassian_grain	Circassian Grain Trade
franciscan_missionaries	Franciscan Missionaries
adyghe_beauty	Adyghe Beauty
steppe_diplomats	Steppe Diplomats
circassian_religious_flexibility	Religious Flexibility
lao_ethnic_diversity	Laotian Ethnic Diversity
lxa_elephant_cavalry	Elephant Cavalry
court_history_of_lang_xang	Court History Of Lan Xang
lxa_white_elephant	The White Elephant
flowering_of_culture	Flowering Of Culture
merchants_of_vientiane	Merchants of Vientiane
renaissance_of_lan_xang	Renaissance of Lan Xang
horde_legacy	Horde Legacy
deserts_of_khiva	Deserts of Khiva
oasis_of_merv	Oasis of Merv
djuma_mosque	Djuma Mosque
amu_darya	Amu Darya
ichan_qala	Ichan Qal'a
great_powers_diplomacy	Great Power Diplomacy
gharbians	Gharbians
legacy_of_gisu_daraz	Legacy of Gisu Daraz
dakani_language	Dakani Language
karimis	Karimis
takht_e_firoza	Takht-e-Firoza
bahmani_primogeniture	Bahmani Primogeniture
madrasa_of_mahmud_gawan	Great Madrasa of the Deccan
goma	Goma
siddi_seamanship	Siddi Seamanship
fortress_of_janjira	Impregnable Island Fortress
siddi_diaspora	The Siddi Diaspora
siddi_diplomacy	Siddi Diplomacy
siddi_konkani_trade	Konkan Trade
siddi_expansion_of_navy	Expansion of the Navy
jnp_purbias	Purbias
shiraz_e_hind	Shiraz-i Hind
jnp_sants_and_sufis	Sants and Sufis
jaunpuri_architecture	Jaunpuri Architecture 
jnp_gangetic_plain	Gangetic Plain
jnp_hindusthani_classical_music	Hindustani Classical Music
modernization_of_jaunpuri_army	Modernization of the Army
hanseatic_city	Hanseatic City
hamburg_republic	Burgher Republic
walls_of_hamburg	Walls of Hamburg
first_constitution	First Constitution of Hamburg
johanneum	School of the Johanneum
berenberg_bank	Berenberg Bank
elbe_shipyards	Shipyards of the Elbe
crown_of_thorns	Crown of Thorns
latin_patriarch	Latin Patriarch
frontier_state	Frontier State
land_of_the_heathen	Land of the Heathen
crusader_aristocracy	Crusader Aristocracy
crusader_castles	Crusader Castles
cosmopolitan_nobility	Cosmopolitan Nobility
preah_ko_preah_keo	Preah Ko Preah Keo
khm_theravada	Theravada Buddhism
khm_cham_migration	Cham Migration
khm_river_trade	River Trade
khm_european_mercenaries	European Mercenaries
khm_restore_angkor	Restoration of Angkor
khm_modern_navy	A Modern Khmer Navy
zaz_fort_builders	Fast Fort Builders
zaz_hetmanate	Hetmanate
zaz_steppe_riders	Steppe Riders
zaz_cossack_hit_and_run	Hit And Run
zaz_classy_diplomacy	Brutal Diplomacy
zaz_zaporzhian_tolerance	Steppe Tolerance
zaz_army_first	Army First
singing_lumberjacks	Singing Lumberjacks
the_hudson_bay_company	The Hudson Bay Company
settling_the_interior	Settling the Interior
the_maritimes	The Maritimes
the_quebec_act	The Quebec Act
legacy_of_the_empire	Legacy of the Empire
the_forests_of_canada	The Forests of Canada
coureurs_des_bois	Coureurs des Bois
the_seigneurial_system	The Seigneurial System
relations_with_natives	Relations with the First Nations People
fortifications_of_quebec	Fortifications of Quebec
college_of_quebec	The College of Quebec
commissions_for_noble_sons	Commissions for Noble Sons
jesuit_missions	Jesuit Missions
rebuilding_mexico	Rebuilding Mexico
the_republic_of_indians	The Republic of Indians
peace_by_purchase	Peace by Purchase
casa_de_las_campanas	Casa de las Campanas
repartimiento	Repartimiento
heroes_of_the_revolution	Heroes of the Revolution
grito_de_delores	Grito de Dolores
unio_trium_nationum	Unio Trium Nationum
torda_salt_mines	Torda Salt Mines
transylvanian_saxons	Transylvanian Saxons
decree_of_torda	Decree of Torda
patent_of_toleration	Patent of Toleration
unitarian_zeal	Unitarian Zeal
anti_habsburg_policies	Anti-Habsburg Policies
birthplace_of_a_culture	Birthplace of a Culture
akson_thai	Akson Thai
sawankalok_ware	Sawankalok Ware
wat_si_sawai	Wat Si Sawai
father_governs_children	Father Governs Children
ramkhamhaeng_stele	Ramkhamhaeng Stele 
suk_war_elephants	War Elephants
legacy_of_imperial_diets	Legacy of the Imperial Diets
duke_in_franconia	Duke in Franconia
franconian_circle	Franconian Circle
independent_counts	Independent Counts
cassation_of_monasteries	Cassation of Monasteries
franconian_wine	Franconian Wine
baroque_artists	Baroque Artists
gabadagam	Gabadagam
sinhalese_sandesas	Sinhalese Sandesas
pearl_of_the_indian_ocean	Pearl of the Indian Ocean
cey_centre_of_learning	Centre of Learning
cey_cinnamon	Develop the Cinnamon Trade
cey_growth_of_new_castes	Growth of New Castes
sinhalese_guerilla_warfare	Sinhalese Guerrilla Warfare
genoese_connections	Genoese Connections
candarid_literature	Candarid Literary Reform
ismail_bey_complex	Ismail Bey Complex
anatolian_center_of_learning	Anatolian Center for Learning
candar_corps	Legacy of the Candar Corps
sinop_shipyard	Sinop Shipyard
kure_copper_mine	Kure Copper Mine
governorate_general	Governorate General
research_of_nassau	Research of John of Nassau
mines_of_minas_gerais	Mines of Minas Gerais
halting_foreign_incursions	Halting Foreign Incursions
entradas_and_bandeiras	Entradas and Bandeiras
inconfidencia_mineira	Inconfidencia Mineira
old_seat_of_the_empire	Seat of the Empire
cab_river_trade	River Trade
cab_poison_warfare	Poisonous Warfare
cab_resistance_to_the_pailantipo	Resistance towards the Pailanti'po
cab_rainforests_of_guyana	Rainforests of the Guyana
cab_carib_seafaring	Carib Seafarers
cab_religious_syncretism	Religious Syncretism
cab_integrate_the_garifuna_returners	Integrate the Garifuna
ben_curb_the_uzama	Curb the Uzama
ben_isiatua	Isiatua
ben_appointment_of_the_onotueyevbo	Appointment of the Onotueyevbo
ben_the_walls_of_benin	The Walls of Benin
ben_guilds	Benin Guilds
ben_adoption_of_benin_customs	Adoption of Benin Customs
ben_regulation_of_trade	Regulation of Trade
lex_saxonum	Lex Saxonum
memories_of_verden	Memories of Verden
deep_pockets	Deep Pockets
free_imperial_city_of_bremen	Free Imperial City of Bremen
vegesack	Vegesack Harbor
bremish_walls	Bremish Walls
foundation_of_bremerhaven	Foundation of Bremerhaven
limes_saxoniae	Limes Saxoniae
between_a_kingdom_and_the_empire	Between a Kingdom and the Empire
holsteins	'Ewich Tosamende Ungedelt'
kieler_umschlag	Kieler Umschlag
reunifications_of_holstein	Reunification of the Holsteiner Lands
trade_of_two_seas	The Trade of Two Seas
danish_protest_pigs	Danish Protest Pigs
break_the_hessian_estates	Break the Power of the Estates
marburg_university	Marburg University
welcome_reformers	Welcome the Reformers
let_in_religious_emigrants	Receive Religious Immigrants
modernization_of_the_hessian_army	Modernization of the Hessian Army
hessian_mercenaries_idea	Hessian Mercenaries
hessian_economic_reforms	Economic Reforms
ark_mrauk_u_dynasty	Mrauk U Dynasty
ark_rohingya_immigrants	Rohingya Immigrants
ark_bengal_bay_trade	Bay of Bengal Trade
ark_magh_and_ferenghi	Magh and Ferenghi
ark_buddhist_sultans	Buddhist Sultans
ark_muslim_advisers	Muslim Advisors
ark_trade_contracts_ark	Arakanese Trade Contracts
nol_secure_percy_rule	Secure Percy Rule
nol_memory_of_hegemony	The Memory of Northumbrian Hegemony
nol_cradle_of_british_christianity	Cradle of British Christianity
nol_land_of_castles	A Land of Castles
nol_lindisfarne_gospels	Lindisfarne Gospels
nol_literary_and_philosophical_society	The Literary and Philosophical Society
nol_coals_to_newcastle	Taking Coals to Newcastle
mun_great_procession	Great Procession
mun_erbmanner	Erbmänner
mun_founding_of_monestaries	Founding of Monasteries
mun_cities_of_peace	Cities of Peace
mun_soldiers	Soldiers from the Imperial Armies
mun_bommen_berend	Bommen Berend
mun_support_of_schools	Support the Schools
thu_partition_of_leipizg	The Partition of Leipzig
thu_erfurt_fortifications	Fortifications of Erfurt
thu_protector_of_reformers	Protector of Reformers
thu_university_of_jena	Salana University
thu_saxon_duchies	The Saxon Duchies
thu_weimar_clacissicism	Weimar Classicism
thu_expansive_marriage_policies	Expansive Marriage Policy
bti_legacy_of_queen_judith	Legacy of Queen Judith
bti_mountain_kingdom	Mountain Kingdom
bti_kebra_nagast	Kebra Negast
bti_builders_and_artists	Builders and Artisans
bti_gideon_dynasty	Gideon Dynasty
bti_lost_tribe	Lost Tribe of Beta Israel
bti_haskalah	Haskalah
cat_consulate_of_the_sea	Consulate of the Sea
cat_consell_de_cent	Consell de Cent
cat_catalan_constitutions	Constitution of Catalonia
cat_fortifying_catalonia	Fortifying Catalonia
cat_miquelets	Miquelets
cat_lliures_morts	'Lliures o Morts'
cat_catalan_forges	Forges of Catalonia
lna_legacy_of_mangrai	Legacy of Mangrai
lna_million_ice_paddies	A Million Rice Paddies
lna_waters_of_the_naga	Waters of the Naga
lna_the_white_elephant	The White Elephant
lna_red_and_black	Red and Black Vassals
lna_elephant_charge	Elephant Charge
lna_dynastic_spread	Dynastic Spread
pgr_tantric_legacy	Tantric Legacy
pgr_gold_trade	Gold Trade
pgr_istano_basa	Istano Basa
pgr_rajo_tigo_selo	Rajo Tigo Selo
pgr_high_education	High Education
pgr_rumah_gadang	Rumah Gadang
pgr_matrilinear_culture	Matrilineal Culture
cmi_sacrificing_to_the_spirits	Sacrificing to the Spirits
cmi_dragon_boats	Dragon Boat Festivals
cmi_unity_of_the_tribes	Unity of the tribes
cmi_miao_silver	Miao Silver
cmi_customary_marriage_laws	Customary Marriage Laws
cmi_mountain_retreats	Mountain Retreats
cmi_legacy_of_the_miao_rebellions	Legacy of the Miao Rebellions
bad_hot_springs	Hot Springs
bad_zahringen	Legacy of the House of Zähringen
bad_small_nation_diplomacy	Active Diplomacy
bad_cuius_regio_euis_religio	Cuius Regio, Eius Religio
bad_reuiniting_the_nation	Reuinification of Baden
bad_expanding_the_nation	Diplomatic Expansion
bad_grand_duchy	Grand Duchy of Baden
sdy_land_of_glory	Land of Glory
sdy_crossroad_of_religions	Crossroad of Religions
sdy_hills_and_jungles	Hills and Jungles
sdy_temples	Temples of Sadiya
sdy_dihang	Dihang
sdy_army_reform	Reform the Sadiya Armies
sdy_black_tea	Black Tea
mlb_sanamahism	Sanamahism
mlb_martial_traditions	Martial Traditions
mlb_kingdom_of_the_meitei	Kingdom of the Meitei
mlb_mayek	Mayek
mlb_unite_the_hill_tribes	Unite the Hill Tribes
mlb_bengali_influence	Bengali Influence
mlb_far_reaching_diplomacy	Far-Reaching Diplomacy
peg_riches_of_pegu	Riches of Pegu
peg_martabans	Martabans
peg_dhammazedi_pyatton	Dhammazedi Pyatton
peg_rammanadesa	Ramannadesa
peg_dynamic_warfare	Dynamic Warfare
peg_buddhist_traditions	Buddhist Kingship
peg_mon_diaspora	Mon Diaspora
kic_blessings_of_tohil	Blessings of Tohil
kic_ilokab	Ilo'kab traditions
kic_wealth_of_tamub	Wealth of the Tamub
ball_game	The Ball Game
kic_titulos	Titulos
kic_kiqabs_vengeance	K'iq'ab's Vengeance
kic_popul_vuh	Popol Vuh
ldk_two_kingdoms	The Two Kingdoms of Ladakh
ldk_fortified_mountain_cities	Fortified Mountain Cities
ldk_wool_from_the_roof_of_the_world	Wool from the Roof of the World
ldk_great_monasteries	Construction of Great Monasteries
ldk_la_dvags_rgyal_rabs	La dvags rgyal rabs
ldk_kingdom_united	A Kingdom United
ldk_far_away_traders	Invite Far-Away Traders
zim_mwenemutapa	Mwenemutapa
zim_rekindling_the_royal_fires	Rekindling The Royal Fires
zim_mutapa_architecture	Mutapa Architecture
zim_spokesman_before_the_dead	Spokesman before the Dead
zim_elected_administrators	Elected Administrators
zim_curva	Curva
zim_controlling_the_mutapan_riches	Controlling the Mutapan Riches
bal_natural_defences	Natural Defenses
bal_hani_and_sheh_mureed	Hani and Sheh Mureed
bal_khan_of_the_baloch	Khan of the Baloch
bal_reorganization_of_the_army	Reorganization of the Army
bal_control_of_the_overland_trade	Control the Overland Trade
bal_chiefs_and_landlords	Chiefs and Landlords
bal_baluch_leadership	Baluchi Leadership
orl_brothers_of_kings	Monsieur d'Orleans
orl_maid_of_orleans	The Maid of Orleans
orl_faith_and_devotion	Faith and Devotion
orl_saffron_of_boynes	Saffron of Boynes
orl_chateaux_of_the_loire_valley	Chateaux of the Loire Valley
orl_calvin_and_moliere	Calvin and Molière
french_language_in_all_courts	French Language in All Courts
orm_a_vast_emporium	A Vast Emporium
orm_protecting_the_islands	Protecting the Islands
orm_moqarrariya	Reform the Moqarrariya
orm_far_reaching_diplomacy	Far-reaching Diplomacy
orm_secure_trading_monopoly	Maintain Trading Monopoly
orm_develop_qeshm_and_ormuz	Develop Qeshm and Hormuz
orm_ormuzi_navy	Hormuzi Naval Expansion
kgr_katoch_lineage	Katoch Lineage
kgr_riches_of_the_kangra_valley	Riches of the Kangra Valley
kgr_martial_heritage	Martial Heritage
kgr_hill_forts	Control of the Hill Forts
kgr_strengthen_the_mountain_trade	Strengthen the Mountain Trade
kgr_pahari_paintings	Pahari Painting
kgr_tigers_of_the_himalayas	Tigers of the Himalayas
kas_northern_silk_road	Northern Silk Road
kas_altishahr	Altishahr
kas_tarikh_i_rashidi	Tarikh-i-Rashidi
kas_empower_the_khojas	Empower the Khojas
kas_holy_warriors	Holy Warriors
kas_black_and_white_mountain	Black Mountain and White Mountain
kas_encourage_tarim_trade	Encourage Tarim Trade
lux_imperial_legacy	Imperial Legacy
lux_ardennes	The Ardennes
lux_moselle_trade	The Moselle Trade
lux_fortress	The Fortress of Luxembourg
lux_spanish_road	The Spanish Road
lux_grand_duchy_of_luxembourg	The Grand Duchy of Luxembourg
lux_rivals_rivals_everywhere	Rivals On All Sides
lon_heritage_of_the_reconquista	Heritage of the Reconquista
lon_leonese_cortes	Leonese Cortes
lon_conquistadores	Conquest of the New World
lon_school_of_salamanca	School of Salamanca
lon_expand_navy	Expand the Leonese Navy
lon_patronize_leonese_language	Patronize the Leonese Language
lon_nationalism	Leonese Nationalism
cyi_strengthen_yi_caste_system	Strengthen the Yi Caste System
cyi_deep_in_mountains	Deep in the Mountains
cyi_chain_of_zimo_domains	Chain of Zimo Domains
cyi_solar_calendar	Yi Solar Calendar
cyi_promote_bimoism	Promote the Bimoism
cyi_renovate_skyward_tombs	Renovate the Skyward Tombs
cyi_children_of_the_black_tiger	Children of the Black Tiger
nzh_at_the_confluence_of_two_giants	At The Confluence Of Giants
nzh_crossroads_of_nations	Crossroads Of Nations
nzh_issue_land_reforms	Issue Land Reforms
nzh_citadel_of_russia	Citadel Of Russia
nzh_expand_to_the_east	To The East!
nzh_open_up_the_river_trade	Open Up The River Trade
nzh_russian_ambition	Russian Ambition
smi_land_of_the_midnight_sun	Land of the Midnight Sun
smi_protect_the_herds	Protection of Reindeer Herds
smi_regulate_southern_trade	Regulate Trade with the Southerners
smi_encourage_growth_of_the_winter_market	Encourage growth of the Winter Market
smi_defend_noaidi_traditions	Defend the Noaidi Traditions
smi_living_of_the_land	Living off the Land
smi_standardized_literary_language	Standardize Literary Language
maz_piast_legacy	Piast Legacy
maz_frontier	Mazovian Frontier
maz_between_monk_eagle_and_purse	Between Monk, Eagle and Purse
maz_szlachta_zasciankowa	Szlachta Zasciankowa
maz_mazovian_lawmaking	Mazovian Lawmaking
maz_sejmy_i_sejmiki	Sejmy i Sejmiki
maz_emporium	Central Emporium
gal_way_of_st_james	The Way of St. James
gal_la_bella	Galicia la Bella
gal_rein_in_the_cities	Rein in the Cities
gal_shipyards	Galician Shipyards
gal_santiago_y_cierra	Santiago y Cierra!
gal_sailors_of_the_cantabrian_sea	Sailors of the Cantabrian Sea
gal_irmandinos	Irmandinos
