aac_charlemagne_capital	Charlemagne's Capital
mayan_raids_and_warfare	Mayan Raids and Warfare
rivals_all_around	Rivals All Around
mayan_long_and_short_count	Mayan Religious Long Count
disruptors_in_the_past_hunac_ceel	Disruptors of the Past
mayan_league_reformation	The League of Mayapan
COF_council_of_elders	Council of Elders
COF_great_chief	Great Chief
COF_petroglyphs	Petroglyphs
COF_sign_language	Native Sign Language
COF_gender_parity	Gender Parity
COF_little_brother_of_war	Little Brother of War
COF_sunrise_invasion	Sunrise Invasion
shadow_of_the_aztecs	In the Shadow of the Aztecs
multi_ethnic_polity_of_mesoamerica	Multiple Cultures
plain_of_snakes	'Plain of Snakes'
aztec_attributes	Aztec Attributes
mixtec_connections	Mixtec Connections
nahuatl_language_prominence	The Nahuatl Language
blending_together_into_coixtlahuaca	Blending Together into Coixtlahuaca
history_of_previous_rebel_sentiment	History of Rebel Sentiment
indigenous_assistance	Indigenous Assistance
balance_liberals_and_conservatives	Balancing Liberals and Conservatives
martial_skill_from_our_parents	Retain Martial Prowess
colombian_coasts	Colombian Coasts
hill_and_jungle_warfare	Fights in Colombian Land
in_union_and_in_peace_with_each_other	In Union and Peace
broke_away_from_the_shoshone	Shoshone Break-Aways
combat_across_the_plains	Comabt Across the Plains
social_political_organizing	Socio-Political Organizing
contest_land_claims_by_other_tribes	Contest for Land
become_the_lords_of_the_plains	Become the Lords of the Plains
take_the_fight_to_the_enemy	Take the Fight to the Enemy
take_what_is_ours_for_comancheria	For Comancheria
COO_coosawattee_river	Coosawattee River
ABI_frontier_expansion	Frontier Expansion
ABE_council_of_elders	Council of Elders
ABI_migrating_and_expanding	Migrating and Expanding
ABI_mother_town	Mother Town
COO_cultural_mixing	Cultural Mixing
COO_pottery_development	Pottery Development
COR_unblinded_moor	The Unblinded Moor
COR_battle_of_meloria	The Battle of Meloria
SAR_and_COR	The Crown of Sardinia and Corsica
COR_league	The Corsican League
COR_iron_bank	The Bank of Saint George
COR_constitution	The Corsican Constitution
COR_home_of_the_revolution	True Home of the Revolution
COW_trading_city	Trading City
ABI_migrating_and_expanding	Migrating and Expanding
ABI_frontier_expansion	Frontier Expansion
COW_strong_warriors	Strong Warriors
ABE_council_of_elders	Council of Elders
COW_shamans_of_old	Shamans of Old
ABI_mother_town	Mother Town
the_three_colla_people_groups	Colla, Puquina, and Uro
contesting_the_mountain_territories	Contest for the Mountains
bring_up_urcosuyu_and_umasuyu	Urcosuyu and Umasuyu
dualistic_governing_body	Dualistic Governing Body
sacred_shrine_of_lake_titikaka	Lake Titikaka Shrine
earth_work_defenses	Earthen Defenses
successor_to_tiwanaku	Succeed Tiwanaku
attraction_of_merchants	To Attract Merchants
construct_the_pakungwati_palace	The Pakungwati Palace
muslim_hindu_tension	Muslim-Hindu Tensions
ere_ah_efforts	Ere Ah Efforts
far_reaching_diplomacy	Diplmatic Ties Abroad
recruit_into_the_ulama	Recruit for the Ulema
center_of_islam_and_trade	Center of Islam and Trade
moundbilders_legacy_CRE	Moundbuilders Legacy
creek_caste_system	Creek Caste System
green_corn_celebration	Green Corn Celebration
four_mother_towns	Four Mother Towns
micos_leadership	Micos Leadership
muscogee_neutrality	Muscogee Neutrality
red_sticks	Red Sticks
cri_genghisid_legacy	Genghisid Legacy
cri_slavers	Slavers of the Steppe
cri_ruthenian_raids	Lead Raids into Ruthenia
cri_despoilers	Despoilers
cri_free_cattle_grazing	Free Cattle Grazing
cri_settle_the_steppes	Settle the Crimean Steppe
cri_allow_nogai_protectorates	Accept Nogai Protectorates
CRM_Celtic_origin	Celtic Origins
CRM_Roman_military_outpost	Roman Military Outpost
CRM_Lombard_Possession	Lombard Possession
CRM_Seignory_Lords	Seignory Lords
CRM_signoria_hereditary	Hereditary Signoria
CRM_Loggia_dei_Militi	Loggia Dei Militi
CRM_Mostarda_di_frutta	Mostard Di Fruitta
crn_stannary_parliaments	Stannary Parliaments
crn_cornish_rebels	Cornish Rebels
crn_prayer_book_traditionaliism	Prayer Book Traditionalism
crn_pirates_of_penzance	Pirates of Penzance
crn_royalist_army	Cornish Royalist Army
crn_gear_rout	The Gear Rout
crn_arthurian_romanticism	Arthurian Romanticism
hrvatski_ban	Hrvatski Ban
pearl_of_the_adriatic	Pearl of the Adriatic
granary_of_croatia	Granary of Croatia
antemurale_christianitatis	Antemurale Christianitatis
the_sabor	The Sabor
croatian_renaissance	Croatian Renaissance
pandurs	Pandurs
CRT_gate_of_aegean	The Gate to the Aegean
CRT_mountain_towns	Mountains of Crete
CRT_queen_of_islands	The Queen of Islands
CRT_venetian_network	Venetian Trade Network
CRT_familiar_waters	Familiar Waters
CRT_legacy_minoan	Legacy of the Minoans
CRT_shipbuilding_ports	The Port of Heraklion
CSC_melting_pot	Cascadian Melting Pot
CSC_chinook_jargon	Chinook Jargon
CSC_forts_of_hudson_bay	The Forts of Hudson Bay
CSC_settling_boundaries	Settling the Boundaries
CSC_nookta_sound	Nookta Sound Trading
the_hudson_bay_company	The Hudson Bay Company
CSC_oregon_trail	The Oregon Trail
shun_humble_beginnings	Humble Beginnings
shun_dashing_king	The Dashing King
shun_hidden_treasury	Hidden Treasury
shun_obedient_to_heaven	Obedient to Heaven
shun_perfection_of_sieging	Perfection of Siegecraft
shun_from_sticks_to_guns	From Sticks to Guns
shun_claim_to_the_mandate	Claim to the Mandate
csk_ichiryo_gusoku	Ichiryo Gusoku
csk_seven_clans_of_tosa	Seven Clans of Tosa
csk_unification_of_shikoku	Unification of Shikoku
csk_100_article_code	100 Article Code
csk_expand_the_navy	Expand the Navy
csk_god_of_arts	God of Arts
csk_active_support_of_temples	Support of the Temples
CSU_ayar_siblings	Ayar Siblings
CSU_sacred_puma	Sacred Puma
CSU_two_sector_cities	Two Sector Cities
CSU_channeled_rivers	Channelled Rivers
CSU_huascar	Huascar
CSU_dry_and_temperate	Dry and Temperate
CSU_cultuvation_of_potato	Cultivation of Potatoes
mayan_population_division	Mayan Population Division
legacy_as_a_trade_hub	Legacy as a Trade Hub
mayan_raids_and_warfare	Mayan Raids and Warfare
fertile_soils_of_two_rivers	Fertile Soil
mayan_long_and_short_count	Mayan Religious Long Count
highland_mayas_and_yucatan_mayas	The Meeting of Mayans
mayan_league_reformation	The League of Mayapan
cua_idea_1	Hunter-Gatherer Ways
cua_idea_2	Legacy of the Pampas
cua_idea_3	Bolas Warfare
cua_idea_4	Horse Adoption
cua_idea_5	Resist Conquistadors
cua_idea_6	Garra Charrua
cua_idea_7	The Last Charruas
urbanize_further	Cuban Urban Centers
centralize_governance_in_cuba	Strong Central Governance
caribbean_trade_hub	Centrality of Caribbean Trade
defend_cuban_waters	Cuban Waters
trade_with_new_world_polities	New World Trade Deals
learn_advanced_naval_strategy	Uphold the Cuban Fleet
armed_at_all_times	Never Surrender
CUM_out_of_the_steppes	Out of the Steppes
CUM_vast_khanate	Vast Khanate
CUM_western_diplomacy	Western Diplomacy
CUM_cumanian_matrimonial_politics	Cumanian Matrimonial Politics
CUM_mercenary_skythikon	Mercenary Skythikon
CUM_nation_founders	Nation Founders
CUM_codex_cumanicus	Codex Cumanicus
proclaim_daxi	Proclaim Daxi
zhang_xianzhong_yellow_tiger	Zhang Xianzhong
outsmart_the_enemy	Outsmart the Enemy
strengthen_siege_equipment	Strengthen Siege Equipment
from_chengdu_to_xijing	From Chengdu to Xijing
cut_down_opposition	Cut Down Opposition
great_western_dynasty_ascendant	The Great Western Dynasty Ascendant
cya_idea_1	Warriors of the Clouds
cya_idea_2	Legacy of Kuelap
cya_idea_3	Summit Fortresses
cya_idea_4	Women Diplomacy
cya_idea_5	Chachapoyan Endurance
cya_idea_6	Purunmachus
cya_idea_7	Cloud Forests
cyi_strengthen_yi_caste_system	Strengthen the Yi Caste System
cyi_deep_in_mountains	Deep in the Mountains
cyi_chain_of_zimo_domains	Chain of Zimo Domains
cyi_solar_calendar	Yi Solar Calendar
cyi_promote_bimoism	Promote the Bimoism
cyi_renovate_skyward_tombs	Renovate the Skyward Tombs
cyi_children_of_the_black_tiger	Children of the Black Tiger
king_of_jerusalem	King of Jerusalem
frankish_crusaders	Frankish Crusaders
commandaria_wine	Commandaria Wine
lusignan_diplomacy	Lusignan Diplomacy
cypriot_fortifications	Cypriot Fortifications
repel_the_corsairs	Repel the Corsairs
raid_turkish_commerce	Raid Turkish Commerce
CYR_bleeding	Spilt blood
CYR_home	Our homelands
CYR_revolution	Revolution
CYR_italian_rule	Italian Rule
CYR_aghlabids	Aghlabids
CYR_great_recruitment	Great Manmade River
CYR_desert	The Desert
field_experience_of_wu_sangui	Field Experience of Wu Sangui
intimate_knowledge_of_china	Intimate Knowledge of China
opportunity_at_every_turn	Opportunity at Every Turn
consolidate_the_southwest	Consolidate the Southwest
reinforce_supply_routes	Reinforce Supply Routes
suppress_tribal_sentiment	Suppress Tribal Sentiment
rise_of_the_great_zhou	Rise of the Great Zhou
children_of_the_panther	Children of the Panther
slave_hunts	Slave Hunts
migan_and_mehu	Migan and Mehu
lagredis	Lagredis
the_amazons	The Amazons
the_yovogan	The Yovogan
palaces_of_abomey	Palaces of Abomey
the_great_proclamation	The Great Proclamation
confucian_revival	Confucian Revival
autonomous_villages	Autonomous Villages
village_militia	Village Militia
don_dien	Don Dien
thuan_thien	Thuan Thiên
literary_reform	Literary Reform
DAL_kingdom_of_dalmatia	Kingdom of Dalmatia
DAL_principalities	The Dalmatian Principalities
DAL_language	The Dalmatian Language
DAL_art_and_lit	Center of Art and Literature
DAL_independent_army	Dalmatian Independent Army
DAL_arsenal	The Independent Arsenal
DAL_illyria	Legacy of Illyria
ethiopian_connections	Ethiopian Connections
rival_of_shewa	The Rival of Shewa
river_and_mountain_warfare	River & Mountain Warfare
fight_the_oromo	Fighting the Oromo
extend_damot_settlements	Extend Damot Settlements
professional_damot_fighters	Making a Professional Military
damot_administrative_measures	Administrative Approaches
nordic_rulers_legacy	Nordic Rulers Legacy
vornedskab	Vornedskap
old_naval_traditions	Old Naval Traditions
rentekammer	Found the Rentekammer
klaedekammer	Reorganize the Klaedekammer
expanded_dockyards	Found the Copenhagen Dockyard
den_danske_lov	Den Danske Lov
penal_code_of_sultan_dali	Penal Code of Sultan Dali
manage_immigration	Manage Immigration
wars_in_the_arid_land	Wars in the Arid Land
legacy_of_the_jebal_marra_mountains	The Jebal Marra Mountains
ivory_and_slave_trade	Ivory and Slave Trading
tribal_warrior_connections	Tribal Warrior Connections
the_middle_man_of_the_region	The Middle Man
feudal_and_hre_roots	Feudal and Holy Roman Empire Roots
the_savoy_daphine_conflicts	The Savoy-Dauphine Conflicts
french_military_service	French Military Service
sort_out_the_noble_feuds	Sort out the Noble Feuds
remembering_humber_ii	Humbert II of Viennois
patronize_the_universities	Patronize the Universities
all_for_france	All for France
hed_desert_warfare	Desert Warfare
custodian_of_the_desert	Custodians of the Desert
sharifs_of_the_sand	Sharifs of the San
cradle_of_gold	Cradle of Gold
hajj	Hajj
hed_red_sea_trade	Red Sea Trade
our_own_caliphate	Our own Caliphate
dakani_language	Dakani Language
dec_diwan_funding	Funding the Diwan
dec_foreign_trade_privileges	Privileges for Foreign Traders
dec_empower_paigah	Empower the Paigah
dec_modernize_the_sarf_e_khas	Modernize the Sarf-e-Khas
dec_jewels_of_the_nizams	Jewels of the Nizams
dec_encourage_industries	Encourage Growth of Industries
drum_chant_histories	Drum Chants
the_king_of_strength	The King of Strength
govern_over_the_indigenous_people	Governing the Indigenous People
implement_the_surviving_tengdamba	Utilize the Surviving Tengdamba
invest_in_islamic_matters	Islamic Investing?
centralized_political_structuring	Centralize our Politics
expand_at_others_expense	Policy of Expansion
memory_of_koimala	The Memory of Koimala
muslim_trading_privileges	Muslim Trading Privileges
far_off_connections	Far Off Connections
protecting_the_atolls	Protecting the Atolls
arabic_ties_and_administrative_tongue	The Arabic Language
capitalize_on_our_importance	Capitalize on our Importance
exporting_cowrie_shells_and_coir_fibre	Cowrie Shells and Coir Fibre
dhu_improve_amer_fort	Improve the Fort at Amer
dhu_seek_protection_of_great_powers	Seek the Protection of Great Powers
dhu_restore_hindu_ceremonies	Restore Hindu Ceremonies
dhu_foundation_of_jaipur	Found the city of Jaipur
dhu_battles_in_foreign_lands	Battles in Foreign Lands
dhu_astronomical_education	Astronomical Education
dhu_recruit_from_the_pindari	Pindari Mercenaries
dlh_afghan_nobility	Afghan Nobility
dlh_suppress_rebellion	Suppress Rebellion
dlh_expansionism	Restore the Delhi Empire
dlh_textile_innovation	Promote Innovation in Textile Production
dlh_reconquest	Re-integrate Former Provinces
dlh_grand_trunk	Protect the Grand Trunk Road
dlh_throne_of_india	The Throne of India
DLI_tributary_kingdom	Tributary Kingdom
DLI_suppress_rebellion	Supression of rebellions
DLI_ship_building	Powerful shipbuildings
DLI_sailors_of_java	Sailors of Java and Aceh
DLI_conquest	Conquering the region
DLI_trade_powerhouse	Trade powerhouse
DLI_throne_of_indonesia	Throne of Indonesia
from_the_fall_of_majapahit	From the Fall of Majapahit
successor_to_majapahit	Successor to Majapahit
consolidate_control_over_the_coasts	Consolidation of Coasts
campaigns_in_sumatra	The Sumatra & Malaya Campaigns
contesting_spice_trade_control	Contest for the Spice Trade
thalassocracy_from_java	Thalassocracy from Java
modern_trade_competition	Modern Trade Competition
dms_the_land_of_castles	The Land of Castles
dms_cadet_lines	Cadet Lines
dms_gaelic_bastion	Gaelic Bastion
dms_the_munster_ambition	The Munster Ambition
dms_fierce_independence	Fierce Independence
dms_promote_the_clture_of_service	Promote the Culture of Service
dms_inner_perfection	Inner Perfection
conflicts_against_muslims	Conflicts with Muslims
intersection_of_trade_routes	Intersection of Trade Routes
code_of_laws	Code of Laws
a_volatile_region	Our Volatile Region
peasant_soldiers	Peasant Soldiers
bastion_of_orthodoxy	Bastion of Orthodoxy
succeed_the_old_khans	Succeed the Old Khans
tharu_people_heartland	Heartland of the Tharu People
reistance_to_malaria	Resistant to Malaria
tharu_people_are_of_the_forest	We of the Forest
reaching_the_other_tharu_languages	Tharu Languages, United
promote_the_badghar_system_locally	The Badghar System
retain_our_own_traits	The Tharu People Remember
the_usage_of_the_kukri	The Kukri!
conflicts_against_muslims	Conflicts with Muslims
intersection_of_trade_routes	Intersection of Trade Routes
code_of_laws	Code of Laws
a_volatile_region	Our Volatile Region
peasant_soldiers	Peasant Soldiers
bastion_of_orthodoxy	Bastion of Orthodoxy
succeed_the_old_khans	Succeed the Old Khans
danzig_law	Danzig Law
vistula_river_trade	Vistula River Trade
centralized_population	Centralized Population
hanseatic_league_member	Hanseatic League Member
danziger_shipyard	Danziger Shipyards
continued_independence	Continued Independence
lutheran_change	Lutheran Change
tolerate_idol_worshippers_i	Tolerate the Idol Worshipers
persian_court	Court Persian
comphrehensive_land_survey	Comprehensive Land Survey
counting_the_people	Counting the People
equality_under_law	Equality Under the Law
high_court_culture	High Court Culture
sultanate_bureaucracy	Sultanate Bureaucracy
dte_oshu_shugo	Oshu Shugo
dte_expansion_trhough_marriages	Expansion by Marriages
dte_renga_group	Renga Group
dte_dragon_corps	Dragon Corps
dte_red_seal_ships	Red Seal Ships
dte_keicho_embassy	Keicho Embassy
dte_intensive_domain_development	Intensive Domain Development
linked_to_kuamon	Linked to Kumaon
seven_children_of_the_katyuri_kingdom	Eight Princely States Remained
surpass_kuamon_in_importance	Rivalry with Kumaon
usage_of_the_kali_and_karnali_rivers	Kali and Karnali River Usage
rise_of_the_dotiyali_and_kumauni_languages	Dotiyali and Kumauni Languages
hindu_festivals_within_doti	Embrace the Festivals
the_usage_of_the_kukri	The Kukri!
dtt_resistance_against_feudalism	Resistance to Feudalism
dtt_kirchspiele	Kirchspiele
dtt_trade_missions	Trade Missions
dtt_expert_wreckers	Expert Wreckers
dtt_levees	Fortify the Coastline
dtt_ecclesiacstiacl_order	Ecclesiastical Orders
dtt_free_farmers	Free Farmers
beyond_anatolia	Beyond Anatolia
buffer_state	Buffer State
promote_the_dynasty	Promote the Dynasty
oghuz_connections	Oghuz Connections
mamluk_ties	Mamluk Ties
extending_our_influence	Extending our Influence
beyond_being_a_seljuk_march	Beyond being a Seljuk March
DWT_City_state	City State
DWT_Swiss_assoc	Associations with the Swiss
DWT_Battles	Battle hardened
DWT_Banner	Juliusbanner
DWT_Friends	Friend of the Confederacy
DWT_Trade_Hub	Trade Hub
DWT_witches	Witch Hunts
burhs	Burhs
anglo_mercian_settlement	Anglo-Mercian Settlement
law_of_aethelberht	Law of Æthelberht
treaty_of_wedmore	Treaty of Wedmore
fyrd	Fyrd
tribal_hidage	Tribal Hidage
heptarchy	Heptarchy
efr_chiefs	Chiefs of East Frisia
efr_saxon_feud	The Saxon Feud
efr_religious_thought	Center of Religious Thought
efr_dutch_migrants	Dutch Migrants
efr_mennonism	Refuge of the Mennonites
efr_city_autonomy	Autonomous Burghers
efr_emden_company	The Emden Company
EGY_mixed_faiths	Mixed Faiths
EGY_islamic_heritage	Islamic Heritage
EGY_nile	The Nile
EGY_breadbasket	Breadbasket
EGY_pilgrimage	Last Stop of Pilgrimage
EGY_desert	The Desert
EGY_valley_of_kings	Valley Of Kings
EJZ_raids	Raiders
EJZ_exploration	Exploring Land and Sea
EJZ_colonization	Colonising New Lands
EJZ_adopt_feudal_system	Adopt Feudal system
EJZ_sea_awaits	The Sea Awaits
EJZ_massive_fishing_and_hunting	Massive Fishing and Hunting
EJZ_Korean_shipwrights	Korean Shipwrights
ELF_old_norse	Old Norse
ELF_scandinavian_pride	Scandinavian Pride
LUL_norse_sami_relations	Norse/Sami Relations
ELF_elders_and_children	Elders and Children
ELF_kopparbergs	Kopparbergs
ELF_mountain_forts	Mountain Forts
ELF_powerful_war_machine	Powerful War Machine
against_damot	Against Damot
tribute_to_ethiopia	Tribute to Ethiopia
the_mikretcho_council	The Mikretcho Council
gold_and_slave_trade	Gold and Slave Trade
keep_the_divine_kingship	Keep the Divine Kingship
reforming_tribal_polities	Reforming Tribal Polities
charting_an_independent_path	An Independent Path
royal_navy	A Royal Navy
eltham_ordinance	The Eltham Ordinance
secretaries_of_state	Secretaries of State
navigation_acts	The Navigation Acts
eng_red_coats	Redcoats
sick_and_hurt_board	The Sick and Hurt Board
british_bill_of_rights	English Bill of Rights
EOR_lifestyle	Eora Lifestyle
EOR_bands	Twenty-Nine Bands
EOR_enduring	Enduring Culture
EOR_protect	Protect the Ancestral Land
EOR_sacred	The Sacred Shore
EOR_pemulwuy	Pemulwuy
EOR_berewaldal	Berewaldal
epi_pyrrhus	Legacy of Pyrrhus
epi_chronicle_of_the_toco	Chronicle of the Tocco
epi_serbs_and_albanians	Albanian and Serbian Tribes
epi_metropolis_of_knowledge	Metropolis of Knowledge
epi_latin_knights	Latin Knights
epi_trade_influences	Entrepôt of the Adriatic
epi_unity_in_strength	Unity in Strength
eastern_beylik	Eastern Beylik
uyghur_mongol_foundations	Uyghur and Mongol Foundation
eastern_and_western_fighting	Eastern and Western Fighting
resolve_eretnid_disputes	Resolve Eretnid Disputes
protective_ties	Protective Ties
emulate_our_founder	Emulate our Founder
beyond_being_a_seljuk_march	Beyond being a Seljuk March
ERI_great_lakes	Great Lakes
ERI_fur_traders	Fur Traders
ERI_wyandot_linguistic_brothers	Wyandot Linguistic Brothers
ERI_hardy_hunters	Hardy Hunters
ERI_iroquois_people	Iroquois People
ERI_copper_production	Copper Production
ERI_unity_among_people	Unity among people
pax_romana	Pax Romana
legacy_of_rome	Legacy of Rome
spqr	S.P.Q.R.
roman_legions	The Roman Legions
roman_architecture	Roman Architecture
imperial_bureaucracy	Imperial Bureaucracy
imperium_sine_fine	Imperium Sine Fine
est_brotherhood_of_blackheads	Brotherhood of Blackheads
est_baltic_cooperation	Baltic Ties
est_castles_of_estonia	Castles of Estonia
est_academia_gustaviana	An Estonian Academy
est_baltic_trade	Baltic Trade
est_estophilia	Estophilia
est_national_awakening	Ärkamisaeg
solomonid_claim	Solomonid Claim
nagusa_negast	Negusa Negast
hostile_borders	Hostile Borders
diplomatic_demeanor	Diplomatic Demeanor
the_ark_of_the_covenant	The Ark of the Covenant
eth_expansionist_policy	Expansionist Policy
eth_reformed_armies	Reformed Armies
ETO_council_of_elders	Council of Elders
ETO_great_chief	Great Chief
ETO_petroglyphs	Petroglyphs
ETO_sign_language	Native Sign Language
ETO_gender_parity	Gender Parity
ETO_little_brother_of_war	Little Brother of War
ETO_sunrise_invasion	Sunrise Invasion
ETR_the_families	Le Famiglie
ETR_walls_of_etruria	The Walls of Etruria
ETR_etrurian_renaissance	Etrurian Renaissance
ETR_the_papal_alliance	Papal Alliance
ETR_divine_independence	Divine Independence
ETR_napoleonic_sympathy	Domestic Treaties
ETR_refuge_of_the_unification	Free Thinker's Refuge
SHM_desert_syncretism	Desert Syncretism
SHM_between_two_seas	Between two Seas
SHM_land_of_prophets	Land of Prophets
SHM_dynamic_tribes	Dynamic Power Structure
SHM_oasis	Oasis Agriculture
SHM_desert_network	Network across the Desert
SHM_desert_nomads	Desert Nomad Cavalry
FAF_heirs_of_ashurbanipal	Heirs of Ashurbanipal
FAF_Fafarian_homeland	Fafarian Homeland
FAF_nestorian_church	Nestorian Church
FAF_end_the_Fafarian_diaspora	End the Fafarian Diaspora
FAF_tigris_and_euphrates	Tigris and Euphrates
FAF_mesopotamian_thinkers	Mesopotamian Thinkers
FAF_Fafarians_in_exile	Fafarians in Exile
principate_guard	Principate Guards
komnin_paleolog_gavras	Komnenoi, Palaiologoi and Gavras
aristocracy_in_moskovia	Russian Aristocracy
avlita_port	Port Avlita
mangup_kalamita	Mangup and Kalamita Forts
turms	Turms
cave_monasteries	Cave Monasteries
maintain_the_house_of_este	Maintain the House of Este
italian_tensions	Italian Tensions
rival_of_venice	Rivals of Venice
promote_high_european_culture	Promote High European Culture
cultivate_the_duchy_of_ferrara	Cultivate Ferrara
build_up_the_court_of_ferrara	Build up our Court
from_the_hre_to_italy	From North to South
cordoba_and_fatimid_memories	Caliphate Legacies
almohad_memories	Almohad Memories
marinid_golden_age	Marinid Golden Age
market_town_souks	The Souq!
promote_andalusian_settlements	Promoting Andalusian Settlements
madrasa_education	Madrasa Education
caliphate_Ambition	Caliphate Ambition
expand_viborg	Expand Viborg
hakkapelitta_fin	The Hakkapeliitta
the_fourth_estate	The Fourth Estate
settle_middle_finland	Settle Middle Finland
found_turun_akatemia	Found Turun Akatemia
the_white_death	The White Death
anjala_conspiracy	The Anjala Conspiracy
fkn_duchy_restored	The Duchy Restored
fkn_main_trading	Trading on the Main
fkn_rugged_land_of_fortresses	A Rugged Land of Fortresses
fkn_free_knights_of_franconia	Free Imperial Knights of Franconia
franconian_wine	Franconian Wine
fkn_baroque	A Baroque Duchy
fkn_franconian_bourgeoisie	Franconian Bourgeoisie
fla_cloth	Flemish Cloth
fla_land_reclamation	Land Reclamation
fla_beeldenstorm	Beeldenstorm
fla_painters	Flemish Innovation
fla_ship_building	North Sea Shipyards
fla_university	Flemish Academics
fla_noose_bearers	Noose-Bearers
haven_for_freed_slaves	Freed Slaves are Welcome
marshland_fighting	Fighting in the Marshes
deal_with_heat_and_insects	Insects... And Heat...
formalize_hemp_sugarcane_indigo_growth	Floridian Crops
scattered_yet_plentiful_fortifications	Outposts and Watchtowers
floridian_harbors	Floridian Harbors
social_mobility_for_slaves_and_natives	Social Mobility
fly_galloglas	The Gallowglasses
fly_gracious_hosts	Irish Hospitality
fly_trade_shannon	River Trade
fly_clonmacnoise	The Fear of God
fly_tower_houses	Tower Houses
fly_family_affair	A Family Affair
fly_buannacht	The Buannacht
from_the_crusades	From the Crusades
against_the_mountain_walls	Against the Mountain Walls
maintain_outside_connections	Maintain Outside Connections
tenuous_stance_by_french_royalty	Tenuous Stance
fortify_the_castle_of_foix	Fortify the Castle of Foix
Ambition_from_the_border	Ambition from the Border
all_for_france	All for France
the_meskwaki_and_sauk_people	The Meskwaki and Sauk People
enemies_in_the_huron_iroquois	Enemies of the Huron and Iroquois
civil_war_ceremonial_chiefs	War and Civil Chiefs
steady_expansion_of_lands	Steady Expansion of Lands
improving_fighting_styles	Improving our Fighting Style
population_upswing	Population Upswing
refine_the_traditions_of_succession	Refined Succession
french_language_in_all_courts	French Language in All Courts
elan	Elan!
estates_general	Estates General
native_trading_principles	Native Trading Principles
vauban_fortifications	Vauban Fortifications
the_philosophes	The Philosophes
liberty_egalite_fraternity	Liberté, Égalité, Fraternité
fri_coastal_industry	Coastal Industry
fri_upstalsboom_league	The Upstalsboom League
fri_dutch_courage	Dutch Courage
fri_zuiderzee_settlements	The Zuider Embankments
fri_flooding_polders	Flooding the Polders
fri_mennonism	Difference of Opinion
fri_brothers_arms	Brothers in Arms
FRM_koxinga_loyalty	Koxinga Loyalty
FRM_fight_against_china	Fight Against The Chinese
FRM_food_struggle	Food Struggle
FRM_tuntian_policy	Tuntian Policy
FRM_varying_taxes	Varying Taxes
FRM_autonomous_state	Autonomous State
FRM_high_quality_salt	High Quality Salt
treaty_of_verdun	The Treaty of Verdun
merovingian_legacy	Merovingian Legacy
policing_the_streets	Policing the Streets
an_army_for_frankfurt	An Army for Frankfurt
encourage_scientific_intrigue	Encourage Scientific Intrigue
compound_upon_previous_military_tactics	Better Military Tactics
curtail_guild_patrician_power	Curtail the Power of Guilds and Patricians
fro_brave_warriors	Brave Warriors
fro_notorius_pirates	Notorius Pirates
fro_religious_tolerance	Religious Tolerance
fro_plunder_and_pillage	Plunder and Pillage
fro_masters_of_the_sea	Masters of the Sea
fro_odins_wrath	Odins Wrath
fro_songs_and_sagas	Songs and Sagas
frs_land_of_the_persians	Land of the Persians
frs_center_of_religion_and_philosophy	Center of Religion and Philosophy
frs_diplomatic_prudence	Diplomatic Prudence
frs_shirazi_wine	Expand the Wine Production
frs_shirazi_school	Shirazi School
frs_integrate_the_qashqai	Integrate the Qashqai
frs_capital_for_an_empire	A Capital for an Empire
violent_migrations	Violent Migrations
cavalry_of_the_fulo	Cavalry of the Fulani
clashes_over_gold	Clashes over Gold
war_over_falling_states	Warring State Chaos
muslim_influence_over_the_fulo	Increasing Muslim Influences
the_influence_of_the_torodbe	The Torodbe
cut_down_regional_chiefs	Strike down Regional Chiefs
FZA_additional_relations	Additional Relations
FZA_vassal_tribute	Vassal Tribute
FZA_diplomatic_reputation	Diplomatic Reputation
FZA_foreign_customs	Foreign Customs
FZA_merchants	Regulated Merchants
FZA_claims	Claims
FZA_diplomatic_conquest	Diplomatic Conquest
gal_way_of_st_james	The Way of St. James
gal_la_bella	Galicia la Bella
gal_rein_in_the_cities	Rein in the Cities
gal_shipyards	Galician Shipyards
gal_santiago_y_cierra	Santiago y Cierra!
gal_sailors_of_the_cantabrian_sea	Sailors of the Cantabrian Sea
gal_irmandinos	Irmandinos
brutal_warfare_against_others	Brutal Warfare
painting_of_the_people	Painting of the Guamar
bravest_and_most_warlike_people	Brave and Warlike People
treachery_and_destructiveness	Treachery and Destructiveness
semi_nomadic_traditions_of_chichemecans	Chichimecan Traditions
arid_survival_and_harsh_terrain	Survival in Arid Lands
consolidate_chicemeca	Consolidate Chichimeca
GAZ_king_atropates	King Atropates
GAZ_fire_temple_of_ganzak	Fire Temple of Ganzak
GAZ_trans_cacausian_trade	Trans-Cacausian Trade
GAZ_autonomous_satrap	Autonomous Satrap
GAZ_fiercely_independent_Gazikumukh	Fiercely Independent
GAZ_embrace_Gazikumukh	Embrace all Religions
GAZ_successors_to_the_median_empire	Successors to the Median Empire
gbr_acts_of_union	The Acts of Union
city_upon_a_hill	City Upon a Hill
british_merchant_navy	Establish British Merchant Navy
gbr_the_royal_society	The Royal Society
reform_of_comission_buying	Reform of Commission Buying
british_industrialization	Early Industrialization
britanna_rules_the_waves	Britannia Rules the Waves
mythical_kings	Mythical Kings
institute_garhs	Institute Garhs
gondi_knowledge_sharing	Share the Knowledge with Kin
gondi_hinduism	Hinduism of the Adivasi People
